Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
LeBron James,14,,SF,11000,LAL,@SAC,0,116,34,26,100,109,0%,20,17,20,37,34,35,46.4,52.1,42.0,62.1,35.0,52.7,4.8,33.6,47.5,4.3
Luka Doncic,,O,PG,10500,DAL,ATL,0,120,39,29,106,111,0%,20,23,21,29,33,34,47.8,53.8,41.5,66.0,0.0,0.0,0.0,0,0.0,0.0
Anthony Davis,13,,PF,10300,LAL,@SAC,0,116,29,28,100,109,-9%,22,15,19,39,33,35,48.6,53.1,41.0,65.3,35.0,52.5,5.1,29.7,41.8,4.1
Damian Lillard,17,,PG,10200,POR,UTA,0,111,31,26,101,105,-2%,26,28,21,40,41,38,73.1,48.8,36.0,61.5,37.5,49.3,4.8,36.3,73.4,7.2
Trae Young,16,,PG,9900,ATL,@DAL,1,116,36,25,101,109,-6%,18,20,22,33,36,36,59.7,49.5,36.3,62.8,36.5,52.1,5.3,26.3,16.7,1.7
Brad Beal,14,,SG,9600,WAS,BKN,1,121,33,23,104,106,-2%,24,23,22,36,36,36,54.9,45.4,34.0,56.9,36.5,49.5,5.2,35.9,60.2,6.3
Ben Simmons,1,,PG,9300,PHI,@BOS,1,107,22,21,102,103,-11%,13,12,12,35,38,37,53.5,44.2,32.4,56.0,37.5,42.4,4.6,37.4,40.3,4.3
Joel Embiid,11,,C,9200,PHI,@BOS,1,107,31,25,102,103,-3%,14,15,16,30,33,31,42.7,46.6,35.4,57.7,32.0,46.3,5.0,23.4,20.5,2.2
Kyrie Irving,12,,PG,8900,BKN,@WAS,0,122,33,26,105,114,7%,20,20,22,32,34,34,48.3,48.3,34.9,61.7,33.0,48.1,5.4,28.6,21.8,2.4
Rudy Gobert,7,,C,8700,UTA,@POR,1,117,17,23,104,110,4%,9,9,9,35,35,35,45.3,42.5,32.4,52.6,35.5,45.5,5.2,32.1,33.2,3.8
DeMar DeRozan,8,,SG,8600,SAS,CHA,2,112,27,22,99,111,2%,20,16,16,37,36,35,41.0,39.6,30.8,48.4,35.0,42.6,5.0,32.8,39.4,4.6
Hassan Whiteside,5,,C,8500,POR,UTA,0,111,19,25,101,105,0%,12,11,11,31,35,31,50.4,43.0,30.2,55.9,33.0,44.6,5.2,34.8,52.2,6.1
Domas Sabonis,11,,PF,8400,IND,NYK,2,112,23,21,101,111,-3%,15,13,14,40,36,35,40.8,41.9,32.7,51.1,35.0,42.5,5.1,34.7,34.6,4.1
Jimmy Butler,7,,SG,8300,MIA,@ORL,3,106,26,24,100,105,2%,13,13,13,34,33,35,40.0,42.8,34.2,51.5,34.0,40.2,4.8,34.1,35.1,4.2
Nikola Vucevic,11,,C,8100,ORL,MIA,4,104,26,22,100,106,-6%,15,18,17,30,32,32,39.8,41.6,32.2,51.0,32.5,41.6,5.1,34.2,42.8,5.3
Bam Adebayo,5,,PF,8000,MIA,@ORL,3,106,20,21,100,105,-8%,14,11,11,33,36,35,35.6,40.6,29.9,51.2,34.5,37.9,4.7,38.2,47.3,5.9
De'Aaron Fox,10,,PG,7900,SAC,LAL,1,110,31,21,103,103,-1%,20,17,16,31,31,32,44.7,39.7,27.6,51.8,33.0,43.7,5.5,33,34.7,4.4
Julius Randle,1,,PF,7800,NYK,@IND,2,101,28,17,101,105,-7%,17,17,16,36,35,33,37.8,35.7,27.0,44.3,34.5,36.4,4.7,34.8,45.1,5.8
John Collins,15,,PF,7600,ATL,@DAL,1,116,22,22,101,109,-1%,14,15,14,33,31,31,43.3,39.4,29.1,49.8,33.5,43.7,5.8,33,37.2,4.9
Kemba Walker,,O,PG,7600,BOS,PHI,1,106,28,22,101,103,-6%,16,18,18,35,34,33,41.6,38.3,26.8,49.8,0.0,0.0,0.0,0,0.0,0.0
D'Angelo Russell,14,,SG,7600,GSW,@CLE,1,112,33,20,101,113,7%,20,22,20,33,34,33,41.4,39.2,26.2,52.1,33.0,42.2,5.6,28.9,37.4,4.9
Jayson Tatum,6,,PF,7500,BOS,PHI,1,106,27,19,101,103,-5%,18,19,18,28,33,34,41.0,38.7,28.2,49.1,33.5,38.3,5.1,28.6,40.6,5.4
Donovan Mitchell,10,,SG,7500,UTA,@POR,1,117,31,20,104,110,-4%,16,20,21,34,35,35,37.8,38.9,29.8,47.9,35.0,38.8,5.2,32.4,34.4,4.6
LaMarcus Aldridge,5,,PF,7400,SAS,CHA,2,112,22,21,99,111,7%,9,13,15,36,35,34,38.3,38.3,27.5,49.1,33.0,38.7,5.2,27.8,22.4,3.0
