Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
James Harden,23,,SG,11600,HOU,CHA,1,119,37,29,99,111,-5%,25,19,24,38,36,38,49.9,58.9,45.6,72.1,38.0,67.6,5.8,39.8,77.8,6.7
Giannis Antetokounmpo,18,,SF,11500,MIL,@NOR,1,126,38,33,106,110,5%,24,21,20,31,30,31,59.3,57.7,46.6,68.8,31.5,61.0,5.3,33,64.4,5.6
Damian Lillard,13,,PG,10900,POR,@DEN,2,111,31,27,100,106,-5%,30,26,21,38,39,38,70.9,49.3,36.2,62.5,38.0,49.9,4.6,30.1,39.9,3.7
Russell Westbrook,0,O,PG,10700,HOU,CHA,1,119,34,21,99,111,-5%,26,27,23,38,39,36,56.3,49.9,38.6,61.1,0.0,0.0,0.0,0,0.0,0.0
Nikola Jokic,9,,C,10400,DEN,POR,1,115,28,25,104,110,4%,20,19,15,37,37,32,54.8,45.0,32.7,57.3,35.5,54.3,5.2,30.7,69.1,6.6
LeBron James,18,,SF,10400,LAL,SAS,2,119,34,26,102,110,2%,19,18,20,36,35,35,48.1,52.0,42.0,61.9,35.5,53.8,5.2,34.2,58.9,5.7
Anthony Davis,11,P,PF,10200,LAL,SAS,2,119,29,28,102,110,0%,16,15,18,34,33,35,50.6,52.9,40.7,65.0,35.5,55.5,5.4,29.1,25.5,2.5
Hassan Whiteside,12,,C,9100,POR,@DEN,2,111,19,25,100,106,-2%,12,10,11,34,33,31,49.0,43.6,30.9,56.3,33.5,44.2,4.9,23,16.0,1.8
Clint Capela,,O,C,7700,HOU,CHA,1,119,16,21,99,111,10%,10,10,10,31,31,34,34.9,40.1,28.7,51.5,0.0,0.0,0.0,0,0.0,0.0
Brandon Ingram,10,,SF,7600,NOR,MIL,1,120,29,21,107,100,-9%,18,16,19,35,34,35,31.7,41.7,31.8,51.6,34.5,38.7,5.1,35.6,47.9,6.3
DeMar DeRozan,10,,SG,7600,SAS,@LAL,0,108,27,22,103,103,1%,19,17,16,34,35,35,41.4,39.5,30.9,48.2,35.0,38.6,5.1,32.8,47.3,6.2
Jrue Holiday,12,,SG,7500,NOR,MIL,1,120,26,17,107,100,0%,15,16,18,33,35,36,38.2,40.0,29.7,50.4,34.5,39.1,5.2,28.7,23.1,3.1
Khris Middleton,18,,SG,7200,MIL,@NOR,1,126,26,22,106,110,3%,13,15,15,35,34,30,43.9,35.1,25.8,44.4,32.0,39.3,5.5,33.5,48.6,6.8
Zion Williamson,13,,PF,7100,NOR,MIL,1,120,,,107,100,1%,15,13,13,31,28,26,32.4,32.0,27.2,36.8,32.0,41.0,5.8,31.8,34.9,4.9
C.J. McCollum,4,,SG,6900,POR,@DEN,2,111,25,17,100,106,-4%,18,19,19,37,37,37,34.9,35.5,25.0,46.0,36.0,33.2,4.8,31.4,24.9,3.6
LaMarcus Aldridge,7,,PF,6900,SAS,@LAL,0,108,22,21,103,103,-7%,14,13,15,31,34,34,37.4,38.2,27.2,49.2,32.5,34.9,5.1,30.2,15.1,2.2
Lonzo Ball,14,,PG,6900,NOR,MIL,1,120,21,13,107,100,0%,9,9,11,35,35,32,35.5,31.3,19.6,43.1,35.0,35.6,5.2,38.8,31.3,4.5
Devonte' Graham,6,,SG,6700,CHA,@HOU,0,106,26,16,106,107,2%,12,12,15,37,35,36,26.5,34.8,24.8,44.8,36.0,33.7,5.0,35.1,33.8,5.0
Eric Bledsoe,21,,PG,6300,MIL,@NOR,1,126,25,19,106,110,6%,10,12,12,32,31,27,34.1,31.3,21.0,41.7,29.5,34.4,5.5,32.6,33.7,5.3
Jamal Murray,3,,PG,6300,DEN,POR,1,115,26,17,104,110,8%,17,17,16,37,35,33,36.7,33.5,22.4,44.6,30.0,31.7,5.0,19.9,29.4,4.7
