Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Giannis Antetokounmpo,7,,SF,11500,MIL,BOS,1,119,37,34,102,103,-4%,20,18,20,25,29,31,51.7,57.3,45.9,68.6,31.0,58.8,5.1,34.9,64.9,5.6
Kawhi Leonard,14,,PF,10100,LAC,ORL,1,114,34,26,100,103,-8%,24,22,20,32,32,32,49.9,47.0,37.9,56.1,34.5,51.5,5.1,29.9,49.5,4.9
Nikola Jokic,6,,C,9400,DEN,@GSW,0,108,28,25,103,109,1%,12,16,15,30,32,31,50.7,43.0,31.4,54.5,32.5,46.0,4.9,43.8,47.4,5.0
Rudy Gobert,8,,C,9200,UTA,@NOR,1,116,16,22,105,110,1%,11,10,9,37,34,35,45.2,41.4,31.3,51.6,35.0,43.7,4.8,38.9,47.8,5.2
Brandon Ingram,12,,SF,8900,NOR,UTA,2,110,29,21,101,104,-7%,17,18,19,35,36,35,43.9,42.5,33.6,51.3,36.5,43.6,4.9,41.4,66.6,7.5
Devin Booker,11,,SG,8800,PHO,@NYK,1,114,29,21,102,112,-1%,18,18,18,36,37,37,45.0,40.3,28.7,51.8,37.0,42.6,4.8,27.9,38.8,4.4
Nikola Vucevic,6,,C,8700,ORL,@LAC,0,102,26,23,105,105,3%,21,19,17,35,32,32,43.5,42.2,32.6,51.7,32.0,42.4,4.9,29.5,40.8,4.7
Paul George,,O,SF,8300,LAC,ORL,1,114,31,21,100,103,-8%,20,19,18,33,35,31,39.1,39.5,26.2,52.8,0.0,0.0,0.0,0,0.0,0.0
Julius Randle,10,,PF,7900,NYK,PHO,1,112,27,17,104,108,0%,21,18,16,30,32,32,39.2,35.3,26.1,44.4,33.5,39.8,5.0,35.5,43.7,5.5
Jayson Tatum,5,,PF,7600,BOS,@MIL,0,108,27,18,107,99,-10%,20,18,18,30,32,34,39.3,38.1,27.2,49.1,34.0,38.1,5.0,40.3,30.9,4.1
Jrue Holiday,,O,SG,7500,NOR,UTA,2,110,27,17,101,104,-2%,16,17,18,35,33,36,39.0,40.1,30.4,49.7,0.0,0.0,0.0,0,0.0,0.0
Deandre Ayton,13,,C,7400,PHO,@NYK,1,114,22,19,102,112,-2%,15,15,14,30,32,31,36.6,36.5,29.2,43.8,33.0,39.3,5.3,34.8,58.2,7.9
D'Angelo Russell,6,,SG,7400,GSW,DEN,1,105,33,19,100,106,-5%,21,21,19,34,33,32,39.3,38.0,23.7,52.3,33.0,38.7,5.2,36.4,42.1,5.7
Kelly Oubre,,O,SF,7200,PHO,@NYK,1,114,21,16,102,112,3%,18,15,15,39,38,35,34.6,34.7,23.7,45.7,0.0,0.0,0.0,0,0.0,0.0
Khris Middleton,7,,SG,6800,MIL,BOS,1,119,26,21,102,103,-2%,13,14,15,25,28,29,36.1,33.4,25.9,41.0,31.0,35.7,5.3,30.9,40.2,5.9
Kemba Walker,14,,PG,6700,BOS,@MIL,0,108,29,22,107,99,2%,14,16,18,30,31,33,34.2,37.3,26.4,48.1,33.5,36.7,5.5,38.2,58.7,8.8
Jamal Murray,1,O,PG,6600,DEN,@GSW,0,108,26,17,103,109,9%,17,17,16,37,35,33,36.7,33.5,22.4,44.6,0.0,0.0,0.0,0,0.0,0.0
Donovan Mitchell,16,,SG,6600,UTA,@NOR,1,116,30,20,105,110,-2%,19,17,21,36,35,35,34.6,38.8,30.6,46.9,35.0,40.3,6.1,42.3,59.2,9.0
Lonzo Ball,7,,PG,6500,NOR,UTA,2,110,22,13,101,104,-2%,18,15,12,40,38,30,39.3,29.6,17.7,41.5,37.0,37.0,5.7,42.1,33.3,5.1
Will Barton,11,,SF,6400,DEN,@GSW,0,108,20,16,103,109,6%,10,13,13,32,34,34,30.8,32.3,22.3,42.3,34.0,32.5,5.1,43,50.5,7.9
Ricky Rubio,16,,PG,6300,PHO,@NYK,1,114,23,16,102,112,2%,10,9,12,35,35,33,30.7,35.5,25.6,45.3,34.5,36.5,5.8,35.4,65.1,10.3
Louis Williams,12,,SG,6200,LAC,ORL,1,114,30,19,100,103,2%,15,15,16,27,29,31,35.2,32.5,23.4,41.5,31.0,35.1,5.7,24.1,21.3,3.4
Montrezl Harrell,4,,C,6200,LAC,ORL,1,114,25,23,100,103,-3%,12,14,14,25,28,29,35.1,34.5,23.4,45.6,29.0,34.2,5.5,23,32.0,5.2
Eric Bledsoe,3,,PG,6100,MIL,BOS,1,119,25,20,102,103,-9%,15,13,12,24,27,27,31.1,31.4,22.2,40.7,28.5,33.2,5.4,20.1,18.4,3.0
Jaylen Brown,,O,SF,6000,BOS,@MIL,0,108,24,18,107,99,-5%,15,14,15,34,32,34,26.4,33.9,24.7,43.2,0.0,0.0,0.0,0,0.0,0.0
Draymond Green,0,,PF,5900,GSW,DEN,1,105,18,12,100,106,-2%,6,6,8,25,27,29,24.3,28.8,18.4,39.2,30.5,30.4,5.2,35.8,36.6,6.2
R.J. Barrett,3,,SG,5900,NYK,PHO,1,112,23,11,104,108,0%,13,14,13,36,32,32,29.2,26.8,15.8,37.9,32.0,28.5,4.8,14.2,12.6,2.1
Gordon Hayward,4,,SF,5800,BOS,@MIL,0,108,21,19,107,99,-10%,13,12,13,31,31,32,28.6,32.2,21.8,42.7,33.5,31.6,5.4,32.2,15.0,2.6
Elfrid Payton,6,,PG,5700,NYK,PHO,1,112,21,14,104,108,4%,9,11,9,25,27,26,27.0,26.4,16.2,36.5,29.0,30.3,5.3,24.2,20.9,3.7
Evan Fournier,1,,SG,5700,ORL,@LAC,0,102,25,18,105,105,0%,19,14,14,37,33,32,30.3,29.1,21.5,36.7,32.0,28.6,5.0,29.6,22.8,4.0
Aaron Gordon,0,,PF,5700,ORL,@LAC,0,102,21,13,105,105,-4%,14,12,13,34,32,32,31.1,30.1,21.9,38.2,32.5,29.8,5.2,28.8,27.5,4.8
Bojan Bogdanovic,7,,SF,5700,UTA,@NOR,1,116,26,16,105,110,4%,20,17,16,34,32,34,27.3,28.7,20.0,37.5,33.0,30.4,5.3,40.2,33.6,5.9
