Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Luka Doncic,18,,PG,10800,DAL,BKN,1,115,39,31,105,105,11%,22,21,20,35,33,33,56.1,55.3,43.0,67.5,35.5,62.6,5.8,34,56.1,5.2
Karl-Anthony Towns,,O,C,10000,MIN,GSW,0,108,29,29,103,110,0%,19,17,18,36,36,34,50.1,52.1,40.4,63.8,0.0,0.0,0.0,0,0.0,0.0
Andre Drummond,12,,C,9800,DET,@LAC,2,106,25,23,105,103,3%,16,14,14,37,34,34,48.2,48.9,35.3,62.5,36.5,55.7,5.7,26.9,32.4,3.3
Kawhi Leonard,10,,PF,9500,LAC,DET,1,118,34,25,101,110,2%,23,20,20,37,35,33,46.5,46.5,37.6,55.4,35.0,49.4,5.2,24.5,40.7,4.3
Nikola Jokic,5,,C,9200,DEN,@IND,1,105,27,24,101,103,5%,13,15,14,29,31,31,43.3,42.0,30.9,53.1,32.0,42.6,4.6,24.2,28.4,3.1
Rudy Gobert,11,,C,8800,UTA,@CHI,2,106,16,21,103,103,14%,9,9,9,36,36,35,43.8,40.9,30.6,51.1,35.5,45.3,5.1,35.3,38.4,4.4
Bam Adebayo,3,,PF,8800,MIA,TOR,2,110,20,20,103,101,-7%,13,12,10,38,36,34,38.3,40.3,28.7,51.9,36.0,42.2,4.8,35.5,33.8,3.8
Pascal Siakam,,O,SF,8700,TOR,@MIA,1,105,29,19,101,105,3%,24,22,21,35,36,37,46.8,43.7,33.7,53.6,0.0,0.0,0.0,0,0.0,0.0
Jimmy Butler,7,,SG,8700,MIA,TOR,2,110,26,24,103,101,-1%,16,12,14,39,35,35,42.0,43.8,34.7,52.9,36.0,44.7,5.1,33.9,35.9,4.1
Kristaps Porzingis,,O,PF,8400,DAL,BKN,1,115,25,17,105,105,-2%,11,14,16,28,33,33,38.1,38.7,28.1,49.4,0.0,0.0,0.0,0,0.0,0.0
D'Angelo Russell,,O,SG,8400,GSW,@MIN,1,105,33,20,105,108,5%,23,21,19,33,32,32,41.3,38.3,23.9,52.8,0.0,0.0,0.0,0,0.0,0.0
Spencer Dinwiddie,5,,PG,8400,BKN,@DAL,2,107,33,20,102,106,-9%,26,24,18,37,35,32,43.8,38.3,28.3,48.3,35.0,40.7,4.8,23.4,27.9,3.3
Kyrie Irving,,O,PG,8400,BKN,@DAL,2,107,35,26,102,106,-9%,25,24,24,36,36,35,47.8,50.5,38.8,62.2,0.0,0.0,0.0,0,0.0,0.0
LaMarcus Aldridge,2,,PF,8300,SAS,OKC,1,110,23,22,101,105,-10%,16,17,16,34,32,34,48.9,39.3,27.4,51.1,32.5,38.0,4.6,32.7,43.2,5.2
Fred Van Vleet,1,,SG,8200,TOR,@MIA,1,105,24,16,101,105,-9%,16,18,15,34,37,37,42.9,38.3,28.3,48.3,37.5,37.2,4.5,38.6,22.8,2.8
Paul George,9,,SF,8000,LAC,DET,1,118,31,21,101,110,2%,23,18,18,39,35,32,35.2,38.9,25.3,52.5,36.0,44.4,5.5,15.8,19.1,2.4
Domas Sabonis,6,,PF,8000,IND,DEN,1,104,24,20,100,104,-2%,13,13,14,31,33,34,41.8,40.8,32.7,48.9,33.5,41.8,5.2,38.3,49.3,6.2
Zach LaVine,1,,SG,7900,CHI,UTA,2,103,31,18,102,104,-1%,19,20,19,31,36,34,38.9,36.1,24.8,47.5,35.0,36.6,4.6,38.5,40.3,5.1
Kyle Lowry,,,PG,7800,TOR,@MIA,1,105,24,18,101,105,-9%,15,16,15,37,39,39,39.8,40.3,32.9,47.6,38.0,37.8,4.8,40.1,33.8,4.3
DeMar DeRozan,2,,SG,7700,SAS,OKC,1,110,27,20,101,105,-8%,17,15,16,35,33,34,39.9,37.0,28.9,45.2,32.5,34.4,4.5,39.3,37.3,4.8
Devonte' Graham,6,,SG,7700,CHA,@CLE,1,106,27,17,101,112,8%,15,18,16,36,38,35,36.8,35.6,25.9,45.3,37.0,38.7,5.0,41.4,32.7,4.2
Donovan Mitchell,4,,SG,7700,UTA,@CHI,2,106,31,20,103,103,-6%,19,19,21,34,36,35,40.7,39.2,31.1,47.4,35.5,37.5,4.9,37.9,27.3,3.5
Shai Gilgeous-Alexander,4,,SG,7500,OKC,@SAS,1,108,24,17,103,109,0%,18,19,16,37,36,36,42.7,33.6,22.8,44.3,35.5,33.8,4.5,36.2,48.9,6.5
Chris Paul,4,,PG,7400,OKC,@SAS,1,108,23,21,103,109,8%,17,16,12,35,35,32,39.6,36.0,26.8,45.3,33.0,36.2,4.9,32.3,38.1,5.1
De'Aaron Fox,17,,PG,7200,SAC,MEM,1,115,30,19,105,110,5%,11,13,14,32,31,32,36.4,34.5,24.9,44.1,33.0,39.3,5.5,29.9,65.3,9.1
Kevin Love,6,,PF,7200,CLE,CHA,1,107,23,18,100,110,10%,14,13,12,33,32,31,38.8,34.6,23.3,45.9,31.5,38.4,5.3,31.2,35.6,4.9
Serge Ibaka,5,,PF,7100,TOR,@MIA,1,105,24,17,101,105,3%,11,13,11,34,32,25,32.1,27.9,18.6,37.1,33.5,35.8,5.0,34.9,35.0,4.9
Victor Oladipo,,O,SG,7100,IND,DEN,1,104,,,100,104,-3%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Andrew Wiggins,,O,SG,7000,MIN,GSW,0,108,29,18,103,110,2%,23,22,21,41,39,36,37.3,39.2,29.7,48.6,0.0,0.0,0.0,0,0.0,0.0
Jaren Jackson,,,PF,6800,MEM,@SAC,3,110,24,17,99,108,-14%,13,14,14,28,31,29,36.0,30.8,20.7,40.9,30.5,31.7,4.7,31.8,29.4,4.3
Draymond Green,4,,PF,6700,GSW,@MIN,1,105,19,13,105,108,-4%,11,11,9,32,33,30,34.3,30.9,20.9,41.0,31.5,33.4,5.0,22.4,16.6,2.5
Richaun Holmes,7,,PF,6700,SAC,MEM,1,115,16,22,105,110,2%,13,11,9,31,35,30,37.6,31.7,19.8,43.7,32.0,36.3,5.4,34.3,31.4,4.7
Jonas Valanciunas,,,C,6600,MEM,@SAC,3,110,22,21,99,108,-6%,9,11,11,23,26,25,33.7,31.1,19.2,42.9,25.0,29.0,4.4,29.4,33.4,5.1
Jamal Murray,2,,PG,6500,DEN,@IND,1,105,26,17,101,103,0%,12,13,15,32,32,33,29.2,32.7,21.6,43.8,33.5,31.8,4.9,37.9,41.5,6.4
Gorgui Dieng,7,,C,6400,MIN,GSW,0,108,17,18,103,110,0%,13,11,6,28,30,17,36.8,20.3,7.1,33.6,27.5,35.7,5.6,27.5,17.0,2.7
Tristan Thompson,6,,C,6400,CLE,CHA,1,107,19,17,100,110,10%,8,9,11,34,32,32,27.7,32.8,23.4,42.1,32.5,33.6,5.3,30.9,21.2,3.3
Will Barton,6,,SF,6400,DEN,@IND,1,105,20,16,101,103,0%,15,14,13,34,34,34,34.3,32.3,22.8,41.8,33.5,28.8,4.5,32.5,40.5,6.3
Ja Morant,3,,PG,6300,MEM,@SAC,3,110,28,18,99,108,-6%,10,11,14,29,29,30,24.0,32.4,21.9,42.9,29.5,31.3,5.0,32.6,27.7,4.4
Steven Adams,1,,C,6200,OKC,@SAS,1,108,18,22,103,109,-1%,7,10,8,27,29,28,36.4,31.8,21.9,41.7,29.0,30.4,4.9,29.9,31.3,5.0
Malcolm Brogdon,,O,PG,6200,IND,DEN,1,104,28,20,100,104,-7%,16,15,15,31,30,32,30.6,36.9,28.1,45.7,0.0,0.0,0.0,0,0.0,0.0
Terry Rozier,5,,PG,6200,CHA,@CLE,1,106,25,14,101,112,8%,11,16,15,36,36,34,29.1,30.6,20.1,41.1,35.0,32.4,5.2,38.6,42.7,6.9
Buddy Hield,11,,SG,6200,SAC,MEM,1,115,27,15,105,110,5%,18,17,18,36,35,35,29.9,32.7,22.8,42.6,34.5,35.0,5.6,33.6,39.9,6.4
Dennis Schroder,2,,SG,6200,OKC,@SAS,1,108,28,16,103,109,8%,17,18,15,33,33,30,34.0,28.8,19.0,38.6,30.0,28.4,4.6,32.8,27.7,4.5
Damion Lee,4,,SG,6000,GSW,@MIN,1,105,20,16,105,108,3%,13,11,10,37,34,27,36.5,24.4,12.7,36.1,35.0,33.2,5.5,27.5,18.6,3.1
Danilo Gallinari,0,,SF,6000,OKC,@SAS,1,108,23,19,103,109,3%,14,14,13,30,31,31,28.7,29.3,22.0,36.6,30.5,29.4,4.9,29.9,21.0,3.5
Derrick Rose,4,,PG,6000,DET,@LAC,2,106,33,22,105,103,-1%,17,14,14,27,25,25,30.6,30.0,21.7,38.4,26.0,30.3,5.0,27,24.4,4.1
Myles Turner,,,C,5800,IND,DEN,1,104,17,15,100,104,-2%,10,10,10,24,26,30,25.9,28.1,18.5,37.7,26.5,26.2,4.5,35,30.5,5.3
Tomas Satoransky,,,PG,5700,CHI,UTA,2,103,18,15,102,104,-1%,10,11,8,28,32,29,32.1,25.8,15.9,35.8,31.5,27.9,4.9,34.1,20.0,3.5
Lauri Markkanen,1,,PF,5700,CHI,UTA,2,103,21,15,102,104,-4%,13,13,12,25,29,30,32.0,28.1,18.2,38.0,30.5,27.9,4.9,32,33.6,5.9
Dejounte Murray,3,,PG,5700,SAS,OKC,1,110,22,18,101,105,-2%,10,9,9,28,27,24,28.4,27.9,18.4,37.3,26.5,30.9,5.4,24,15.4,2.7
Blake Griffin,,O,PF,5600,DET,@LAC,2,106,28,12,105,103,-4%,14,14,14,28,29,29,24.5,27.3,19.4,35.1,0.0,0.0,0.0,0,0.0,0.0
Alec Burks,12,,SF,5600,GSW,@MIN,1,105,23,17,105,108,3%,16,13,13,32,30,30,32.9,30.1,19.3,40.8,32.5,33.5,6.0,22.3,11.1,2.0
Jarrett Allen,3,,PF,5600,BKN,@DAL,2,107,16,22,102,106,1%,6,6,7,26,26,27,28.3,32.1,20.5,43.8,24.0,28.7,5.1,24.5,15.2,2.7
Bojan Bogdanovic,5,,SF,5600,UTA,@CHI,2,106,25,16,103,103,2%,16,14,15,35,34,34,27.4,29.1,19.9,38.2,35.5,30.5,5.4,33.8,25.7,4.6
Marvin Bagley,,O,PF,5500,SAC,MEM,1,115,26,17,105,110,2%,11,11,12,21,24,24,26.1,25.5,20.6,30.4,0.0,0.0,0.0,0,0.0,0.0
Joe Ingles,5,,SF,5500,UTA,@CHI,2,106,16,12,103,103,2%,10,12,8,32,35,30,30.3,23.6,13.6,33.7,35.0,28.5,5.2,34.3,32.0,5.8
Willie Cauley-Stein,,O,C,5400,GSW,@MIN,1,105,15,17,105,108,1%,6,6,7,22,27,24,26.0,24.8,17.9,31.7,0.0,0.0,0.0,0,0.0,0.0
PJ Washington,2,,PF,5300,CHA,@CLE,1,106,18,14,101,112,5%,10,12,10,32,35,30,28.0,26.2,17.5,34.9,33.0,27.4,5.2,35.3,26.7,5.0
Wendell Carter,1,,C,5300,CHI,UTA,2,103,16,16,102,104,-4%,9,8,8,27,30,31,25.8,29.1,21.4,36.7,29.5,26.9,5.1,35.9,35.6,6.7
Robert Covington,8,,PF,5200,MIN,GSW,0,108,17,13,103,110,2%,6,10,10,34,35,29,30.4,26.7,17.7,35.7,32.5,34.5,6.6,29.8,47.0,9.0
Montrezl Harrell,10,,C,5200,LAC,DET,1,118,25,23,101,110,6%,11,13,14,28,28,30,26.5,34.3,22.7,46.0,27.0,29.1,5.6,27.7,35.8,6.9
Bogdan Bogdanovic,0,,SG,5200,SAC,MEM,1,115,24,15,105,110,5%,8,12,12,26,31,28,24.7,25.6,14.4,36.8,26.5,25.4,4.9,22.5,19.4,3.7
