Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Giannis Antetokounmpo,1,,SF,11800,MIL,@CHA,3,117,38,33,99,111,8%,20,20,20,28,28,31,56.3,57.1,46.0,68.3,30.0,56.8,4.8,32.2,58.2,4.9
James Harden,17,,SG,10800,HOU,@MIN,1,120,38,30,105,108,2%,21,22,25,35,37,38,47.9,59.6,47.3,71.9,37.0,58.7,5.4,34.5,30.3,2.8
Russell Westbrook,23,,PG,10400,HOU,@MIN,1,120,34,20,105,108,2%,25,23,22,36,37,36,62.8,48.9,37.8,60.0,37.0,52.4,5.0,37.7,67.2,6.5
Andre Drummond,3,O,C,10300,DET,MEM,1,115,24,22,106,110,4%,13,14,14,31,34,34,50.2,48.9,36.2,61.6,0.0,0.0,0.0,0,0.0,0.0
Nikola Jokic,16,,C,9900,DEN,@NOR,1,113,28,24,106,110,2%,17,16,15,34,35,32,45.7,42.9,31.5,54.4,34.0,49.6,5.0,35.5,64.9,6.6
Kawhi Leonard,20,,PF,9800,LAC,@MIA,1,110,35,27,100,106,-4%,29,25,21,35,33,33,58.5,48.3,38.4,58.3,35.0,51.7,5.3,38.9,67.0,6.8
Karl-Anthony Towns,13,,C,9800,MIN,HOU,1,115,29,28,106,107,-1%,22,19,18,33,31,34,43.4,50.2,37.8,62.6,34.5,50.0,5.1,27.6,50.9,5.2
Trae Young,14,,PG,9600,ATL,@OKC,1,112,36,24,101,106,1%,18,19,22,33,34,36,49.9,48.7,36.1,61.3,35.0,47.3,4.9,33.7,54.4,5.7
Zach LaVine,8,,SG,8800,CHI,SAC,1,110,31,20,100,109,-3%,19,22,20,35,35,34,45.1,38.8,26.7,50.9,36.0,46.8,5.3,33.2,30.2,3.4
Jimmy Butler,6,,SG,8700,MIA,LAC,1,109,26,24,105,104,-1%,12,12,13,34,34,35,40.5,43.2,34.4,52.1,36.0,45.0,5.2,29.8,39.1,4.5
Brandon Ingram,6,,SF,8600,NOR,DEN,1,117,29,21,100,106,-8%,18,19,19,35,36,35,41.1,42.7,33.2,52.2,35.0,42.2,4.9,33.5,24.9,2.9
Devin Booker,13,,SG,8600,PHO,@SAS,1,111,30,21,103,110,-1%,18,18,18,35,37,36,44.1,40.3,27.9,52.7,37.5,42.2,4.9,40.7,51.8,6.0
Nikola Vucevic,6,,C,8500,ORL,BOS,1,108,26,23,102,103,-3%,21,18,17,33,32,32,40.3,42.3,33.0,51.6,32.0,43.3,5.1,34.5,37.4,4.4
Domas Sabonis,16,,PF,8400,IND,@GSW,1,110,23,21,103,110,3%,12,14,14,31,34,34,41.1,41.6,32.6,50.6,35.0,44.8,5.3,36.5,43.0,5.1
Paul George,,O,SF,8300,LAC,@MIA,1,110,31,21,100,106,-4%,20,19,18,33,35,31,39.1,39.5,26.2,52.8,0.0,0.0,0.0,0,0.0,0.0
DeMar DeRozan,16,,SG,8200,SAS,PHO,1,116,27,22,104,108,1%,16,16,16,36,36,35,44.3,38.9,30.1,47.7,35.0,41.8,5.1,36.4,45.6,5.6
Bam Adebayo,10,,PF,8100,MIA,LAC,1,109,20,20,105,104,4%,9,11,11,37,36,35,38.5,40.3,29.3,51.2,35.0,41.8,5.2,38.2,40.1,5.0
Deandre Ayton,11,,C,8000,PHO,@SAS,1,111,22,20,103,110,-1%,13,15,15,35,35,33,43.3,40.6,32.1,49.2,35.5,43.2,5.4,36,28.7,3.6
