Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Giannis Antetokounmpo,7,,SF,11700,MIL,CHI,1,121,37,33,102,105,11%,21,18,20,30,28,31,51.2,57.1,45.8,68.4,29.5,59.2,5.1,31,57.8,4.9
James Harden,6,,SG,11400,HOU,OKC,1,119,38,31,101,106,-2%,16,25,25,38,39,38,58.9,60.3,48.1,72.6,36.5,57.4,5.0,38.9,50.8,4.5
LeBron James,5,,SF,11100,LAL,@BOS,1,115,34,27,102,104,-1%,22,21,20,36,34,35,52.7,52.8,42.5,63.1,35.5,52.0,4.7,29.2,38.9,3.5
Anthony Davis,3,,PF,10900,LAL,@BOS,1,115,29,28,102,104,1%,12,15,19,33,36,35,52.8,53.4,41.6,65.1,28.0,42.9,3.9,22.6,23.8,2.2
Karl-Anthony Towns,,,C,10400,MIN,DEN,1,112,29,27,100,105,-3%,16,17,18,28,32,34,42.5,50.2,37.3,63.2,31.5,44.8,4.3,35.2,51.1,4.9
Trae Young,1,,PG,10300,ATL,TOR,1,111,36,24,103,101,-4%,16,21,22,31,34,36,50.9,48.1,35.8,60.5,34.5,47.2,4.6,39,67.7,6.6
Andre Drummond,2,,C,10200,DET,@WAS,1,116,24,22,106,114,7%,11,14,14,32,35,34,52.1,48.9,36.0,61.8,32.5,49.9,4.9,35.3,50.7,5.0
Nikola Jokic,3,,C,10000,DEN,@MIN,0,109,28,24,105,107,1%,18,14,15,38,34,32,46.0,42.9,31.3,54.6,33.0,46.7,4.7,34.3,38.1,3.8
Rudy Gobert,4,,C,9700,UTA,IND,1,112,16,22,101,104,2%,11,11,9,36,35,35,53.1,42.1,31.7,52.5,34.5,44.4,4.6,31.1,41.8,4.3
Russell Westbrook,12,,PG,9500,HOU,OKC,1,119,34,19,101,106,-2%,23,23,22,41,37,36,51.0,47.8,37.4,58.2,37.0,50.2,5.3,37.8,66.2,7.0
