Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
James Harden,,,SG,11700,HOU,MIN,1,120,38,32,105,107,2%,29,24,25,40,38,38,66.2,61.4,49.5,73.3,37.0,60.5,5.2,27.7,53.4,4.6
Luka Doncic,6,,PG,11300,DAL,PHI,0,113,39,31,102,103,-8%,22,23,21,35,36,34,56.0,55.4,43.3,67.4,34.5,57.8,5.1,33,41.6,3.7
Giannis Antetokounmpo,15,,SF,11200,MIL,@POR,0,118,37,33,104,109,0%,15,17,20,30,31,31,50.2,57.3,45.6,68.9,31.5,58.4,5.2,28.5,58.4,5.2
Andre Drummond,7,,C,11000,DET,CHI,1,110,24,22,103,105,13%,18,15,14,44,37,34,50.1,49.1,35.8,62.3,36.0,60.7,5.5,19.4,18.8,1.7
LeBron James,1,O,SF,10900,LAL,@OKC,0,103,34,26,101,105,-1%,22,21,20,32,35,36,57.4,53.1,42.5,63.7,0.0,0.0,0.0,0,0.0,0.0
Anthony Davis,4,,PF,10800,LAL,@OKC,0,103,29,29,101,105,-13%,12,15,19,33,36,35,52.8,53.4,41.6,65.1,0.0,0.0,0.0,0,0.0,0.0
Karl-Anthony Towns,,O,C,10500,MIN,@HOU,1,110,29,28,106,107,-2%,19,17,18,36,36,34,50.1,52.1,40.4,63.8,0.0,0.0,0.0,0,0.0,0.0
Brandon Ingram,6,,SF,9700,NOR,@BOS,0,106,29,22,102,103,-2%,19,21,19,38,36,35,44.9,42.9,34.3,51.5,37.5,43.7,4.5,31,28.1,2.9
Nikola Jokic,13,,C,9500,DEN,CLE,2,115,28,25,101,113,4%,23,17,15,34,31,31,43.8,42.5,30.4,54.7,32.5,48.7,5.1,33.6,39.9,4.2
Hassan Whiteside,1,,C,9400,POR,MIL,1,112,20,26,107,100,1%,13,13,11,32,33,30,50.1,42.4,30.1,54.7,0.0,0.0,0.0,0,0.0,0.0
Joel Embiid,,O,C,9000,PHI,@DAL,1,111,31,26,101,107,1%,17,18,16,33,32,31,45.6,47.0,35.7,58.4,0.0,0.0,0.0,0,0.0,0.0
Russell Westbrook,4,,PG,8700,HOU,MIN,1,120,34,18,105,107,2%,24,26,22,35,36,36,43.1,46.6,36.5,56.7,35.5,49.1,5.6,32.8,54.2,6.2
Zach LaVine,10,,SG,8600,CHI,@DET,0,106,31,19,101,110,4%,24,23,19,37,38,34,49.1,37.8,26.2,49.4,37.0,41.0,4.8,35.8,45.8,5.3
Damian Lillard,12,,PG,8500,POR,MIL,1,112,30,25,107,100,2%,14,18,19,33,36,37,43.5,44.9,35.6,54.2,37.0,46.6,5.5,35,34.1,4.0
Ben Simmons,12,,PG,8200,PHI,@DAL,1,111,22,19,101,107,-8%,14,14,11,38,39,36,48.8,42.7,32.0,53.3,37.0,45.1,5.5,37,45.5,5.5
Clint Capela,,O,C,8000,HOU,MIN,1,120,15,22,105,107,-1%,11,12,10,33,32,34,42.1,41.1,29.2,53.0,0.0,0.0,0.0,0,0.0,0.0
Jrue Holiday,,,SG,7800,NOR,@BOS,0,106,27,17,102,103,-8%,16,17,18,35,33,36,39.0,40.1,30.4,49.7,0.0,0.0,0.0,0,0.0,0.0
Chris Paul,5,,PG,7600,OKC,LAL,1,112,23,21,103,102,-2%,15,14,12,33,32,32,36.6,36.1,27.1,45.1,32.5,38.6,5.1,31.8,36.0,4.7
Kristaps Porzingis,,O,PF,7500,DAL,PHI,0,113,25,17,102,103,-10%,11,14,16,28,33,33,38.1,38.7,28.1,49.4,0.0,0.0,0.0,0,0.0,0.0
Kevin Love,6,,PF,7200,CLE,@DEN,1,103,23,18,100,105,-1%,15,13,12,37,33,31,31.4,34.3,22.9,45.6,33.5,36.0,5.0,36.8,39.0,5.4
Andrew Wiggins,,,SG,7100,MIN,@HOU,1,110,29,18,106,107,7%,16,20,20,32,36,36,33.8,38.3,28.7,47.9,33.5,36.9,5.2,24.6,14.1,2.0
Steven Adams,2,,C,7000,OKC,LAL,1,112,18,22,103,102,-13%,7,8,8,30,31,29,38.2,32.7,23.0,42.5,32.0,35.5,5.1,29.4,31.1,4.4
Kemba Walker,10,,PG,7000,BOS,NOR,1,117,29,22,105,110,6%,20,19,18,32,33,33,35.3,38.0,27.0,49.0,32.5,38.1,5.4,28.9,35.5,5.1
Jamal Murray,8,,PG,6900,DEN,CLE,2,115,26,17,101,113,7%,16,16,15,33,34,33,36.0,33.5,22.2,44.7,33.0,34.7,5.0,35,42.5,6.2
Jayson Tatum,14,,PF,6900,BOS,NOR,1,117,27,17,105,110,4%,15,16,18,34,34,35,33.9,37.4,27.0,47.7,34.5,38.7,5.6,30.4,63.2,9.2
Derrick Rose,8,,PG,6800,DET,CHI,1,110,33,22,103,105,-15%,23,19,15,33,30,26,33.6,30.6,22.3,38.8,29.0,34.4,5.1,29,28.9,4.2
Will Barton,11,,SF,6700,DEN,CLE,2,115,20,17,101,113,13%,14,14,13,34,34,34,35.1,32.5,22.5,42.6,33.0,33.5,5.0,38.4,41.3,6.2
Khris Middleton,10,,SG,6600,MIL,@POR,0,118,26,20,104,109,9%,14,15,15,31,31,29,35.5,33.5,25.9,41.2,30.5,34.3,5.2,28.1,37.8,5.7
Tristan Thompson,4,,C,6600,CLE,@DEN,1,103,19,17,100,105,-3%,14,9,11,39,34,32,33.9,33.2,22.2,44.1,32.5,30.8,4.7,38.4,37.6,5.7
Tobias Harris,14,,SF,6500,PHI,@DAL,1,111,23,17,101,107,0%,18,17,16,38,37,35,31.9,35.4,26.0,44.7,34.5,38.4,5.9,34.1,33.5,5.2
Al Horford,10,,PF,6400,PHI,@DAL,1,111,19,16,101,107,1%,11,9,11,33,31,31,22.4,30.6,21.4,39.9,32.5,36.4,5.7,32.9,38.7,6.0
C.J. McCollum,8,,SG,6400,POR,MIL,1,112,26,17,107,100,-4%,19,18,20,35,36,37,31.7,35.8,24.4,47.1,36.0,35.8,5.6,34.3,36.1,5.6
Derrick Favors,,,PF,6300,NOR,@BOS,0,106,16,20,102,103,-4%,4,6,7,18,25,24,29.9,27.2,14.9,39.6,0.0,0.0,0.0,0,0.0,0.0
Jaylen Brown,10,,SF,6300,BOS,NOR,1,117,24,18,105,110,-2%,13,15,15,31,33,34,27.9,34.2,24.6,43.7,34.0,34.2,5.4,30.5,24.0,3.8
Shai Gilgeous-Alexander,12,,SG,6200,OKC,LAL,1,112,24,17,103,102,0%,17,16,16,35,35,36,34.4,33.7,23.3,44.0,36.0,35.2,5.7,34.9,38.6,6.2
Josh Richardson,8,,SG,6100,PHI,@DAL,1,111,22,14,101,107,0%,17,13,13,35,36,33,31.5,28.9,20.6,37.3,35.0,32.5,5.3,34.2,15.4,2.5
Lonzo Ball,11,,PG,6100,NOR,@BOS,0,106,22,14,102,103,-8%,13,15,11,38,36,30,40.5,28.8,17.0,40.5,36.0,33.1,5.4,33.3,38.1,6.2
Danilo Gallinari,3,,SF,6000,OKC,LAL,1,112,23,19,103,102,-4%,12,15,13,29,29,31,31.1,29.7,22.1,37.2,30.5,30.6,5.1,31.6,29.9,5.0
Gordon Hayward,8,,SF,6000,BOS,NOR,1,117,21,19,105,110,4%,13,14,13,33,35,33,27.3,32.1,21.0,43.2,33.0,33.2,5.5,28.2,34.5,5.8
Robert Covington,1,,PF,6000,MIN,@HOU,1,110,17,14,106,107,7%,11,11,10,28,31,29,35.1,27.6,18.4,36.9,31.0,31.1,5.2,26.9,46.4,7.7
Collin Sexton,1,,PG,5900,CLE,@DEN,1,103,27,15,100,105,-5%,19,19,16,37,36,31,31.6,27.2,20.2,34.1,34.5,28.4,4.8,34.3,29.1,4.9
Gorgui Dieng,0,,C,5900,MIN,@HOU,1,110,18,19,106,107,-2%,10,10,6,20,24,18,30.1,21.7,7.6,35.7,25.5,30.7,5.2,18.7,26.7,4.5
Eric Bledsoe,14,,PG,5800,MIL,@POR,0,118,25,19,104,109,6%,14,11,12,30,26,27,30.5,31.5,22.3,40.7,28.0,33.2,5.7,27.2,40.3,6.9
Thaddeus Young,0,,PF,5800,CHI,@DET,0,106,21,12,101,110,9%,12,10,9,30,26,22,25.3,20.0,11.8,28.1,27.5,24.9,4.3,19.8,8.9,1.5
Carmelo Anthony,6,,SF,5700,POR,MIL,1,112,22,13,107,100,1%,14,13,15,30,32,33,26.8,28.6,18.1,39.1,35.0,32.6,5.7,32.9,33.2,5.8
Lauri Markkanen,4,,PF,5700,CHI,@DET,0,106,21,15,101,110,9%,11,14,12,32,32,30,27.4,28.0,18.4,37.6,33.0,30.9,5.4,28.2,23.4,4.1
Dwight Howard,1,,C,5600,LAL,@OKC,0,103,13,18,101,105,1%,6,5,4,23,20,20,24.3,20.9,11.9,29.9,21.5,24.6,4.4,26.3,37.3,6.7
Kris Dunn,2,,PG,5600,CHI,@DET,0,106,16,12,101,110,4%,9,8,7,30,31,25,24.7,22.5,12.9,32.1,30.0,25.9,4.6,33,25.2,4.5
Dennis Schroder,4,,SG,5500,OKC,LAL,1,112,27,16,103,102,-2%,14,14,15,31,33,31,26.2,28.4,19.2,37.6,31.0,30.3,5.5,33.9,25.8,4.7
Brook Lopez,2,,C,5500,MIL,@POR,0,118,16,14,104,109,7%,10,9,9,24,25,27,27.3,27.4,16.5,38.2,25.5,25.6,4.7,26.4,15.8,2.9
