Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Giannis Antetokounmpo,,O,SF,11400,MIL,@IND,1,110,38,32,101,106,-7%,21,21,20,34,33,32,64.9,58.2,47.2,69.2,0.0,0.0,0.0,0,0.0,0.0
Anthony Davis,9,,PF,10400,LAL,@DEN,1,112,29,28,100,106,-3%,16,15,18,33,33,35,48.0,52.6,40.0,65.2,35.0,52.1,5.0,41.9,58.0,5.6
Nikola Jokic,3,,C,10300,DEN,LAL,1,109,29,25,103,104,-11%,14,18,16,36,36,33,63.9,46.1,33.2,59.0,34.5,50.0,4.9,37.3,53.2,5.2
Karl-Anthony Towns,8,O,C,10300,MIN,CHA,1,115,29,27,99,111,9%,13,16,18,36,37,34,48.8,50.0,38.5,61.5,0.0,0.0,0.0,0,0.0,0.0
Andre Drummond,16,,C,10200,CLE,ATL,2,116,35,22,106,112,5%,18,17,14,34,34,34,51.3,48.9,36.9,61.0,31.5,49.6,4.9,22.1,34.5,3.4
Trae Young,17,,PG,10100,ATL,@CLE,1,119,36,24,101,114,9%,25,21,21,41,36,36,45.7,49.1,35.3,62.9,35.5,52.6,5.2,37.1,50.6,5.0
LeBron James,8,,SF,10000,LAL,@DEN,1,112,34,25,100,106,-8%,17,17,19,32,34,35,47.4,51.6,41.6,61.5,34.5,47.8,4.8,41.5,64.4,6.4
Luka Doncic,15,,PG,9700,DAL,SAC,1,117,39,29,100,109,-2%,20,23,21,29,33,34,47.8,53.8,41.5,66.0,31.5,52.7,5.4,31.3,55.4,5.7
Damian Lillard,15,,PG,9600,POR,@MEM,0,116,32,27,106,108,3%,27,25,21,41,37,38,53.1,48.5,35.5,61.4,37.5,51.1,5.3,36.7,40.0,4.2
Brad Beal,7,,SG,9600,WAS,@NYK,0,112,34,23,101,110,-3%,24,26,22,34,36,36,50.2,46.0,34.9,57.1,36.0,46.8,4.9,33.9,41.9,4.4
Nikola Vucevic,9,,C,9400,ORL,DET,1,108,26,22,100,109,3%,18,16,17,34,34,33,42.4,41.7,32.4,51.0,33.5,46.9,5.0,40.1,52.7,5.6
Deandre Ayton,1,O,C,8800,PHO,GSW,1,117,23,21,103,110,3%,15,19,16,33,34,34,49.0,42.6,32.1,53.1,0.0,0.0,0.0,0,0.0,0.0
Hassan Whiteside,13,,C,8800,POR,@MEM,0,116,19,25,106,108,6%,10,10,11,31,31,31,42.2,43.0,29.9,56.1,33.5,46.9,5.3,34.2,32.2,3.7
Julius Randle,15,,PF,8600,NYK,WAS,2,115,28,17,105,114,4%,21,18,16,40,37,33,44.0,36.5,27.3,45.6,34.0,44.1,5.1,37.5,37.1,4.3
Kyrie Irving,,O,PG,8500,BKN,TOR,1,110,33,26,103,102,-3%,18,20,21,30,33,34,44.0,46.9,32.5,61.3,0.0,0.0,0.0,0,0.0,0.0
Kristaps Porzingis,2,,PF,8400,DAL,SAC,1,117,26,18,100,109,-9%,13,17,15,28,32,31,48.3,37.4,25.0,49.8,32.5,41.0,4.9,33,58.1,6.9
Pascal Siakam,11,,SF,8400,TOR,@BKN,1,114,28,19,104,106,-3%,22,19,20,35,35,35,39.3,41.7,31.7,51.7,34.5,39.4,4.7,37.5,33.6,4.0
Bam Adebayo,5,,PF,8300,MIA,@UTA,1,106,21,21,101,106,1%,11,14,11,31,35,35,44.2,41.1,30.9,51.2,34.5,40.5,4.9,33.4,46.7,5.6
Jimmy Butler,2,,SG,8200,MIA,@UTA,1,106,26,24,101,106,-8%,11,14,13,29,32,34,41.9,42.9,33.8,52.0,33.5,39.2,4.8,33.1,32.1,3.9
De'Aaron Fox,9,,PG,8200,SAC,@DAL,1,109,31,20,101,109,-4%,14,15,16,30,33,32,35.4,39.1,27.4,50.8,34.0,42.1,5.1,30.5,30.6,3.7
Devin Booker,19,,SG,8100,PHO,GSW,1,117,30,21,103,110,6%,14,15,18,34,34,36,32.2,40.1,27.7,52.4,36.0,45.9,5.7,37.3,49.0,6.0
Domas Sabonis,8,,PF,8100,IND,MIL,1,112,23,21,107,100,0%,14,13,14,36,37,35,44.4,42.0,32.9,51.1,35.0,43.4,5.4,29.8,30.6,3.8
Rudy Gobert,12,,C,7800,UTA,MIA,1,110,16,22,100,107,-6%,7,7,9,36,36,35,35.5,41.7,31.9,51.5,35.0,42.7,5.5,36.6,45.5,5.8
Spencer Dinwiddie,6,,PG,7800,BKN,TOR,1,110,31,18,103,102,-3%,16,15,17,36,31,32,34.8,36.5,26.4,46.6,35.0,40.6,5.2,33.5,37.7,4.8
John Collins,12,,PF,7800,ATL,@CLE,1,119,22,23,101,114,4%,17,17,15,42,40,32,46.8,40.2,29.9,50.4,33.5,41.1,5.3,34.1,35.3,4.5
D'Angelo Russell,14,,SG,7600,MIN,CHA,1,115,33,19,99,111,-4%,16,17,19,32,32,32,36.5,38.5,26.0,51.1,33.5,46.6,6.1,35.5,55.7,7.3
Jonas Valanciunas,7,,C,7400,MEM,POR,2,119,21,22,103,110,5%,8,11,11,29,29,26,39.8,33.8,21.4,46.2,28.0,38.5,5.2,27.5,44.6,6.0
Christian Wood,2,,PF,7400,DET,@ORL,1,101,21,22,100,105,-1%,11,13,7,30,32,19,35.0,21.6,9.0,34.3,31.5,35.5,4.8,38.1,47.9,6.5
Kyle Lowry,10,,PG,7300,TOR,@BKN,1,114,24,18,104,106,7%,14,13,15,34,33,37,39.1,39.4,30.4,48.5,35.0,38.1,5.2,36.7,43.2,5.9
Andrew Wiggins,9,,SF,7200,GSW,@PHO,1,110,25,16,104,108,0%,13,14,19,33,33,35,31.9,36.8,26.2,47.3,34.0,38.3,5.3,33.8,55.3,7.7
Khris Middleton,17,,SG,7200,MIL,@IND,1,110,26,22,101,106,-16%,18,17,15,33,33,30,45.6,36.0,26.4,45.7,34.0,42.4,5.9,34.1,29.5,4.1
Elfrid Payton,9,,PG,7200,NYK,WAS,2,115,22,15,105,114,9%,13,14,10,33,33,28,44.6,30.8,20.0,41.6,30.0,35.9,5.0,30.7,48.8,6.8
Jamal Murray,6,,PG,7000,DEN,LAL,1,109,26,18,103,104,0%,19,17,16,35,34,33,36.5,34.0,23.1,45.0,34.0,35.8,5.1,44.1,48.6,6.9
Kevin Love,1,O,PF,7000,CLE,ATL,2,116,24,18,106,112,9%,13,14,13,30,33,32,38.8,35.0,24.4,45.6,0.0,0.0,0.0,0,0.0,0.0
Kelly Oubre,18,,SF,6900,PHO,GSW,1,117,22,16,103,110,5%,14,17,15,35,37,35,33.9,34.5,23.6,45.4,37.0,39.1,5.7,32.3,22.2,3.2
Clint Capela,,O,C,6800,ATL,@CLE,1,119,16,21,101,114,1%,10,10,10,31,31,34,34.9,40.1,28.7,51.5,0.0,0.0,0.0,0,0.0,0.0
Devonte' Graham,12,,SG,6800,CHA,@MIN,1,109,26,16,105,109,3%,19,14,15,35,36,36,35.2,35.3,25.3,45.3,36.5,37.6,5.5,35.5,40.8,6.0
Donovan Mitchell,9,,SG,6700,UTA,MIA,1,110,31,19,100,107,-3%,18,19,21,36,35,35,30.6,38.0,28.8,47.2,35.0,36.1,5.4,35.4,41.0,6.1
Eric Bledsoe,17,,PG,6700,MIL,@IND,1,110,25,19,101,106,-3%,16,15,12,32,32,28,36.6,32.0,21.7,42.3,32.0,40.1,6.0,27,26.2,3.9
Ja Morant,16,,PG,6700,MEM,POR,2,119,27,18,103,110,7%,15,12,14,31,30,30,29.3,33.2,21.8,44.6,30.5,35.9,5.4,32.1,40.5,6.0
Fred Van Vleet,9,,SG,6700,TOR,@BKN,1,114,23,17,104,106,7%,17,14,15,35,36,37,33.9,37.7,28.4,47.0,35.0,35.9,5.4,38.5,25.9,3.9
Jaren Jackson,11,,PF,6600,MEM,POR,2,119,23,17,103,110,3%,13,12,14,25,26,29,26.6,31.0,21.4,40.7,30.0,33.9,5.1,33.2,24.5,3.7
C.J. McCollum,11,,SG,6400,POR,@MEM,0,116,25,16,106,108,4%,16,18,19,34,35,36,28.0,34.7,24.3,45.1,36.0,34.5,5.4,40.2,36.1,5.6
Serge Ibaka,14,,PF,6400,TOR,@BKN,1,114,23,18,104,106,-3%,13,15,13,36,32,27,32.4,30.0,21.5,38.5,32.0,36.6,5.7,34.5,45.8,7.2
Derrick Rose,1,,PG,6300,DET,@ORL,1,101,32,22,100,105,-2%,16,18,15,30,32,27,37.5,31.8,23.3,40.2,25.0,27.1,4.3,17,11.0,1.7
Aaron Gordon,4,,PF,6300,ORL,DET,1,108,21,14,100,109,5%,16,15,13,35,34,33,38.1,30.3,22.0,38.7,33.5,31.1,4.9,42.8,54.3,8.6
Malcolm Brogdon,4,,PG,6200,IND,MIL,1,112,27,18,107,100,0%,13,14,15,31,33,32,29.2,35.3,26.1,44.4,32.0,33.9,5.5,35.5,38.5,6.2
Draymond Green,4,,PF,6000,GSW,@PHO,1,110,18,13,104,108,0%,6,7,8,26,28,29,32.4,29.7,18.8,40.7,30.5,32.4,5.4,30.3,24.7,4.1
Caris LeVert,7,,SG,6000,BKN,TOR,1,110,28,12,103,102,0%,16,16,14,33,29,27,32.1,24.9,15.0,34.8,32.5,34.1,5.7,36.5,44.4,7.4
Nemanja Bjelica,6,,PF,6000,SAC,@DAL,1,109,18,17,101,109,0%,12,10,10,33,32,29,28.7,27.7,17.3,38.1,33.5,31.5,5.3,21.8,18.4,3.1
Ricky Rubio,5,,PG,5900,PHO,GSW,1,117,22,15,103,110,6%,8,7,11,28,29,32,25.3,33.4,22.2,44.6,30.5,31.3,5.3,23.6,29.5,5.0
Will Barton,,O,SF,5800,DEN,LAL,1,109,21,16,103,104,1%,13,14,13,30,32,34,32.3,32.2,22.6,41.9,0.0,0.0,0.0,0,0.0,0.0
Bojan Bogdanovic,5,,SF,5800,UTA,MIA,1,110,25,16,100,107,1%,12,14,15,33,33,34,28.3,28.6,20.3,36.9,33.0,29.1,5.0,35,33.4,5.8
Marquese Chriss,7,,C,5800,GSW,@PHO,1,110,19,19,104,108,0%,13,10,6,27,27,19,34.0,21.4,10.9,31.9,28.0,31.0,5.3,31.1,42.9,7.4
Myles Turner,3,,C,5800,IND,MIL,1,112,17,15,107,100,0%,7,7,9,28,28,29,27.7,28.1,18.2,37.9,29.0,28.1,4.8,33.1,36.5,6.3
Collin Sexton,15,,PG,5800,CLE,ATL,2,116,27,16,106,112,1%,16,17,17,31,34,32,33.5,28.8,21.4,36.3,34.0,33.4,5.8,32.2,33.4,5.8
Terry Rozier,9,O,PG,5800,CHA,@MIN,1,109,24,15,105,109,3%,14,13,15,33,34,35,23.8,30.9,20.3,41.4,0.0,0.0,0.0,0,0.0,0.0
Markelle Fultz,3,,PG,5700,ORL,DET,1,108,22,14,100,109,2%,14,9,11,30,31,28,27.8,26.1,18.8,33.5,30.5,28.0,4.9,39.5,49.0,8.6
Dave Bertans,0,,PF,5700,WAS,@NYK,0,112,18,16,101,110,-2%,12,10,11,28,30,29,28.2,26.4,17.8,35.0,30.5,27.2,4.8,30,28.4,5.0
Evan Fournier,2,,SG,5700,ORL,DET,1,108,25,16,100,109,-2%,16,13,14,33,33,32,26.0,28.4,20.8,35.9,32.5,28.2,4.9,39,29.9,5.2
Buddy Hield,6,,SG,5700,SAC,@DAL,1,109,26,16,101,109,-3%,15,15,18,32,31,34,35.0,32.9,23.0,42.9,31.5,32.2,5.6,31.4,37.7,6.6
