Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
James Harden,16,,SG,11300,HOU,BOS,1,118,37,29,102,104,-10%,21,20,24,35,37,38,57.4,58.5,44.9,72.2,37.5,58.7,5.2,38.6,62.1,5.5
Russell Westbrook,16,,PG,10100,HOU,BOS,1,118,35,21,102,104,-10%,31,28,23,38,39,37,54.5,50.1,39.1,61.0,38.0,55.4,5.5,36.6,57.5,5.7
Damian Lillard,14,,PG,9800,POR,@NOR,1,120,32,27,106,109,6%,27,25,21,41,37,38,53.1,48.8,35.7,61.9,37.5,53.0,5.4,29.1,32.0,3.3
Hassan Whiteside,11,,C,8800,POR,@NOR,1,120,19,25,106,109,1%,9,10,11,36,33,31,48.0,43.0,29.8,56.3,34.0,48.1,5.5,27.1,39.3,4.5
Jayson Tatum,11,,PF,8500,BOS,@HOU,1,115,28,20,106,108,7%,19,20,18,36,35,34,46.6,39.5,29.0,50.0,34.5,41.5,4.9,34.5,45.8,5.4
Brandon Ingram,4,O,SF,8000,NOR,POR,2,124,29,21,103,110,7%,21,16,19,37,32,35,37.7,41.7,32.0,51.5,0.0,0.0,0.0,0,0.0,0.0
Shai Gilgeous-Alexander,4,,SG,7600,OKC,SAS,1,114,24,18,102,111,0%,13,14,15,35,36,36,37.9,35.9,25.6,46.1,36.0,37.8,5.0,33.1,29.0,3.8
Chris Paul,8,,PG,7400,OKC,SAS,1,114,24,21,102,111,3%,13,13,13,33,32,32,37.8,36.5,27.5,45.6,32.5,38.2,5.2,33.9,47.9,6.5
Jrue Holiday,14,,SG,7400,NOR,POR,2,124,27,17,103,110,7%,18,17,18,30,32,36,40.8,40.1,29.3,50.9,34.0,41.0,5.5,29.1,45.8,6.2
DeMar DeRozan,,O,SG,7200,SAS,@OKC,0,106,27,22,101,106,-7%,13,17,16,34,33,35,38.9,39.5,30.7,48.3,0.0,0.0,0.0,0,0.0,0.0
Zion Williamson,15,,PF,7200,NOR,POR,2,124,,,103,110,3%,15,14,14,29,30,27,32.9,32.2,28.0,36.5,31.0,42.2,5.9,27.9,50.3,7.0
LaMarcus Aldridge,18,,PF,7100,SAS,@OKC,0,106,22,20,101,106,-13%,18,17,15,35,34,34,37.7,37.9,26.7,49.1,35.0,40.0,5.6,38.6,50.3,7.1
Kemba Walker,11,,PG,7100,BOS,@HOU,1,115,29,22,106,108,1%,15,17,17,30,33,33,35.9,38.0,26.6,49.3,32.0,36.7,5.2,28.4,24.8,3.5
Lonzo Ball,12,,PG,6700,NOR,POR,2,124,20,13,103,110,7%,9,9,11,36,36,32,36.5,31.5,20.1,42.8,35.5,39.1,5.8,33.6,33.2,5.0
Dennis Schroder,4,,SG,6600,OKC,SAS,1,114,27,17,102,111,3%,18,17,15,32,32,31,38.4,30.4,20.7,40.1,31.0,32.3,4.9,31.9,16.5,2.5
C.J. McCollum,13,,SG,6400,POR,@NOR,1,120,25,16,106,109,-1%,19,18,19,41,35,37,27.8,35.0,24.6,45.4,37.0,35.8,5.6,29.8,23.7,3.7
Gordon Hayward,14,,SF,6300,BOS,@HOU,1,115,21,19,106,108,7%,13,14,13,35,34,33,37.0,33.2,22.6,43.8,33.5,33.3,5.3,34.4,39.6,6.3
Danilo Gallinari,14,,SF,6100,OKC,SAS,1,114,23,20,102,111,3%,15,14,14,32,31,31,29.7,30.7,23.6,37.8,31.5,33.2,5.4,30.4,31.1,5.1
Robert Covington,8,,PF,6000,HOU,BOS,1,118,16,14,102,104,-3%,11,11,11,30,31,30,29.6,28.4,19.5,37.4,34.0,32.6,5.4,37.6,43.9,7.3
