Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Giannis Antetokounmpo,4,,SF,11800,MIL,@BKN,1,123,37,33,105,105,-2%,23,19,20,32,32,31,53.6,57.5,46.1,68.9,31.5,57.8,4.9,25.4,44.4,3.8
James Harden,14,,SG,11500,HOU,LAL,2,119,38,31,103,102,-3%,25,25,25,38,38,38,59.7,60.6,48.4,72.9,36.5,57.5,5.0,39.2,48.7,4.2
LeBron James,13,,SF,11100,LAL,@HOU,2,117,34,27,106,107,8%,18,20,20,35,34,35,52.0,52.7,42.3,63.1,35.0,59.1,5.3,35.4,55.0,5.0
Anthony Davis,8,,PF,10900,LAL,@HOU,2,117,29,28,106,107,3%,12,15,19,33,36,35,52.8,53.4,41.6,65.1,0.0,0.0,0.0,0,0.0,0.0
Karl-Anthony Towns,4,,C,10500,MIN,TOR,0,111,29,28,103,102,-8%,22,18,18,32,34,34,44.4,51.2,39.0,63.5,30.5,43.7,4.2,27,27.2,2.6
Trae Young,12,,PG,10400,ATL,DET,0,113,36,23,101,110,3%,21,21,22,36,36,36,52.8,48.5,36.2,60.8,35.0,48.2,4.6,27.4,35.1,3.4
Kawhi Leonard,5,,PF,10200,LAC,@NOR,1,121,34,26,105,110,4%,21,23,20,29,33,32,51.7,47.1,38.2,56.1,35.5,54.3,5.3,34.4,68.2,6.7
Andre Drummond,18,,C,10100,DET,@ATL,2,114,24,22,106,110,4%,10,14,14,30,38,34,50.3,48.7,35.7,61.7,34.5,54.0,5.3,27,55.9,5.5
Rudy Gobert,8,,C,9500,UTA,SAC,1,116,16,22,100,108,-7%,11,10,9,38,35,35,47.3,41.6,31.5,51.6,34.5,43.9,4.6,33.6,60.0,6.3
Russell Westbrook,13,,PG,9400,HOU,LAL,2,119,34,19,103,102,-3%,23,23,22,37,36,36,48.0,47.4,37.1,57.7,36.5,48.5,5.2,40.3,60.3,6.4
