Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Anthony Davis,3,,PF,10900,LAL,CLE,1,118,29,29,101,113,3%,12,15,19,33,36,35,52.8,53.4,41.6,65.1,0.0,0.0,0.0,0,0.0,0.0
LeBron James,15,,SF,10700,LAL,CLE,1,118,34,27,101,113,2%,22,21,20,32,35,36,57.4,53.1,42.5,63.7,34.0,59.4,5.6,32.7,45.4,4.2
Karl-Anthony Towns,,O,C,10500,MIN,OKC,1,108,29,28,101,105,1%,19,17,18,36,36,34,50.1,52.1,40.4,63.8,0.0,0.0,0.0,0,0.0,0.0
Andre Drummond,11,,C,10500,DET,NOR,1,113,24,22,105,110,1%,18,15,14,44,37,34,50.1,49.1,35.8,62.3,35.5,55.4,5.3,22.5,38.0,3.6
Hassan Whiteside,6,,C,10000,POR,CHA,1,113,20,26,99,111,8%,13,13,11,32,33,30,50.1,42.4,30.1,54.7,32.5,50.1,5.0,24.2,27.2,2.7
Brandon Ingram,2,,SF,9100,NOR,@DET,1,109,29,21,101,110,4%,17,18,19,35,36,35,43.9,42.5,33.6,51.3,0.0,0.0,0.0,0,0.0,0.0
Joel Embiid,,O,C,8800,PHI,@IND,1,106,31,26,101,105,2%,17,18,16,33,32,31,45.6,47.0,35.7,58.4,0.0,0.0,0.0,0,0.0,0.0
Damian Lillard,6,,PG,8500,POR,CHA,1,113,30,25,99,111,-4%,19,18,19,32,36,37,43.1,44.6,35.3,53.9,37.0,43.7,5.1,35.6,43.1,5.1
Domas Sabonis,6,,PF,8300,IND,PHI,2,110,23,21,102,104,-11%,12,13,14,38,36,34,47.9,41.7,33.6,49.7,34.0,41.5,5.0,32,32.7,3.9
Zach LaVine,2,,SG,8200,CHI,@BOS,1,104,31,19,102,103,-9%,22,22,19,37,37,34,50.2,38.0,26.5,49.5,36.5,39.8,4.9,34.9,36.0,4.4
Nikola Vucevic,11,,C,8200,ORL,@SAC,2,106,26,23,100,108,-8%,21,18,17,30,31,32,45.2,42.3,32.9,51.6,32.0,42.2,5.1,36.9,53.0,6.5
Ben Simmons,13,,PG,8200,PHI,@IND,1,106,22,19,101,105,1%,13,14,11,38,38,36,47.7,42.8,32.3,53.3,37.0,44.4,5.4,40.3,46.3,5.6
Jayson Tatum,7,,PF,8000,BOS,CHI,1,113,27,18,102,105,2%,18,17,18,33,33,35,41.1,38.1,27.0,49.2,35.0,41.0,5.1,29.7,39.2,4.9
Jrue Holiday,2,,SG,7800,NOR,@DET,1,109,27,17,101,110,4%,16,17,18,35,33,36,39.0,40.1,30.4,49.7,0.0,0.0,0.0,0,0.0,0.0
De'Aaron Fox,12,,PG,7600,SAC,ORL,2,107,30,19,100,103,-4%,21,18,15,37,34,32,45.9,37.4,25.4,49.3,35.0,41.7,5.5,37.4,57.6,7.6
C.J. McCollum,4,,SG,7200,POR,CHA,1,113,26,17,99,111,0%,19,19,20,35,35,37,34.0,35.8,24.6,47.0,36.0,35.2,4.9,36.6,39.8,5.5
Kemba Walker,7,,PG,7000,BOS,CHI,1,113,29,22,102,105,-15%,16,18,18,31,32,33,37.2,37.9,27.1,48.8,33.0,34.8,5.0,27.6,25.8,3.7
Chris Paul,12,,PG,6900,OKC,@MIN,1,110,23,21,106,107,3%,14,13,12,30,32,32,36.2,36.1,27.2,45.0,32.0,36.6,5.3,30.5,20.3,2.9
Derrick Rose,7,,PG,6900,DET,NOR,1,113,33,22,105,110,7%,18,18,15,32,31,26,34.5,30.5,22.4,38.7,29.0,36.9,5.3,36.5,39.8,5.8
Kevin Love,7,,PF,6800,CLE,@LAL,1,103,23,18,103,102,-7%,16,14,13,37,34,32,33.4,34.9,23.8,46.0,33.0,34.7,5.1,33.1,34.7,5.1
Andrew Wiggins,6,,SG,6700,MIN,OKC,1,108,29,17,101,105,-2%,14,19,20,30,34,35,32.1,38.3,28.8,47.7,33.0,35.0,5.2,31.3,20.7,3.1
Shai Gilgeous-Alexander,11,,SG,6700,OKC,@MIN,1,110,24,17,106,107,2%,16,15,16,33,35,36,32.3,33.8,23.5,44.1,35.5,34.8,5.2,36.4,60.0,9.0
Terry Rozier,1,,PG,6700,CHA,@POR,0,103,25,16,104,109,6%,12,16,16,30,37,35,34.5,31.4,20.4,42.3,36.0,32.1,4.8,38.6,36.9,5.5
Tobias Harris,6,,SF,6700,PHI,@IND,1,106,24,17,101,105,-18%,20,18,16,35,37,35,32.2,35.3,26.1,44.6,35.0,35.0,5.2,39.3,32.7,4.9
Gordon Hayward,5,,SF,6600,BOS,CHI,1,113,21,19,102,105,2%,11,12,13,32,33,33,28.3,32.2,21.4,43.0,33.5,33.9,5.1,30.1,26.2,4.0
Steven Adams,7,,C,6600,OKC,@MIN,1,110,18,22,106,107,0%,9,9,8,27,31,29,38.2,32.7,23.1,42.3,31.5,35.7,5.4,28.9,43.7,6.6
Devonte' Graham,11,,SG,6600,CHA,@POR,0,103,27,16,104,109,6%,17,15,16,39,39,35,38.0,35.9,26.2,45.6,36.0,35.5,5.4,36.1,46.6,7.1
Carmelo Anthony,4,,SF,6600,POR,CHA,1,113,22,14,99,111,9%,14,13,15,28,32,33,26.7,28.8,18.4,39.1,34.5,31.5,4.8,36.6,37.2,5.6
Lonzo Ball,10,,PG,6300,NOR,@DET,1,109,22,14,101,110,4%,13,14,11,36,36,30,40.5,29.1,17.4,40.8,38.0,38.7,6.1,45.8,46.9,7.4
Al Horford,11,,PF,6200,PHI,@IND,1,106,19,16,101,105,-6%,14,11,12,33,33,31,27.5,30.9,21.6,40.1,32.5,35.8,5.8,35.5,35.1,5.7
Jaylen Brown,6,,SF,6100,BOS,CHI,1,113,24,18,102,105,-5%,14,15,15,32,32,34,24.9,33.9,24.3,43.4,34.0,33.2,5.4,30.3,33.1,5.4
Danilo Gallinari,3,,SF,6100,OKC,@MIN,1,110,23,19,106,107,7%,14,15,13,30,29,31,31.6,29.7,22.3,37.1,30.5,31.3,5.1,33.2,38.3,6.3
Malcolm Brogdon,3,,PG,6100,IND,PHI,2,110,28,20,102,104,-7%,16,15,15,31,30,32,30.6,36.9,28.1,45.7,28.5,29.4,4.8,33.7,44.9,7.4
Tristan Thompson,2,,C,6100,CLE,@LAL,1,103,19,18,103,102,-12%,16,10,11,42,36,32,36.4,33.3,22.5,44.1,33.5,31.7,5.2,33.6,30.0,4.9
Robert Covington,2,,PF,6000,MIN,OKC,1,108,17,14,101,105,-2%,11,12,10,26,29,29,37.2,28.2,18.5,37.8,31.0,30.1,5.0,30.1,35.8,6.0
Richaun Holmes,,O,PF,5900,SAC,ORL,2,107,15,21,100,103,-3%,8,10,9,27,30,30,32.1,31.5,19.9,43.1,0.0,0.0,0.0,0,0.0,0.0
Buddy Hield,8,,SG,5800,SAC,ORL,2,107,27,15,100,103,3%,17,17,18,35,36,35,34.1,32.9,23.3,42.5,34.5,33.7,5.8,37.8,35.5,6.1
Josh Richardson,5,,SG,5800,PHI,@IND,1,106,22,13,101,105,-18%,15,14,13,34,35,33,29.4,28.5,19.9,37.0,34.5,30.9,5.3,35.5,31.3,5.4
PJ Washington,1,,PF,5700,CHA,@POR,0,103,18,13,104,109,2%,6,8,10,26,32,31,23.3,25.8,17.0,34.7,32.0,26.0,4.6,32.6,48.7,8.5
Evan Fournier,6,,SG,5600,ORL,@SAC,2,106,25,18,100,108,4%,16,13,14,30,31,31,27.8,28.9,21.3,36.6,33.0,30.8,5.5,36.6,36.0,6.4
Derrick Favors,0,,PF,5600,NOR,@DET,1,109,16,19,101,110,8%,4,6,7,18,25,24,29.9,27.2,14.9,39.6,0.0,0.0,0.0,0,0.0,0.0
Myles Turner,3,,C,5600,IND,PHI,2,110,18,15,102,104,-11%,14,12,10,31,33,30,35.2,29.2,19.1,39.4,30.5,28.5,5.1,33.3,35.5,6.3
Markelle Fultz,0,,PG,5500,ORL,@SAC,2,106,23,14,100,108,-5%,11,12,10,31,30,27,30.0,24.8,18.2,31.4,30.0,27.2,4.9,31.4,21.8,4.0
Collin Sexton,3,,PG,5500,CLE,@LAL,1,103,27,15,103,102,-3%,19,19,16,37,36,32,32.6,27.2,20.4,34.1,34.0,29.4,5.3,34.7,23.6,4.3
Dennis Schroder,4,,SG,5400,OKC,@MIN,1,110,27,16,106,107,3%,13,14,15,31,33,31,25.8,28.3,19.3,37.4,31.0,29.3,5.4,29.1,17.1,3.2
Lauri Markkanen,6,P,PF,5400,CHI,@BOS,1,104,21,15,102,103,-4%,10,13,12,31,31,30,25.4,27.9,18.4,37.4,31.5,27.9,5.2,25.3,22.2,4.1
Aaron Gordon,3,,PF,5400,ORL,@SAC,2,106,21,13,100,108,-11%,10,12,13,29,31,32,30.0,29.7,21.4,38.0,31.0,27.6,5.1,29.9,35.8,6.6
Kris Dunn,1,,PG,5200,CHI,@BOS,1,104,16,12,102,103,-9%,8,8,7,31,31,25,25.2,22.6,13.1,32.1,31.0,25.2,4.8,30,14.5,2.8
Enes Kanter,7,,C,5100,BOS,CHI,1,113,20,25,102,105,14%,10,9,7,20,20,20,27.4,26.1,15.9,36.4,25.5,33.5,6.6,26.4,26.8,5.3
Dwight Howard,3,,C,5100,LAL,CLE,1,118,14,18,101,113,4%,6,5,4,26,21,20,26.8,21.4,12.1,30.6,24.0,29.6,5.8,24.9,41.0,8.0
T.J. Warren,4,,SF,5100,IND,PHI,2,110,22,16,102,104,-2%,10,15,14,26,32,33,31.9,27.9,17.0,38.8,30.5,26.1,5.1,37.3,35.2,6.9
Miles Bridges,4,,SF,5000,CHA,@POR,0,103,19,12,104,109,9%,11,11,11,31,33,31,33.3,25.0,16.1,34.0,32.0,26.2,5.2,18.4,4.9,1.0
Nemanja Bjelica,13,,PF,4900,SAC,ORL,2,107,19,16,100,103,-3%,14,10,10,39,31,27,27.3,25.9,16.4,35.3,32.5,30.4,6.2,33.3,50.4,10.3
Bruce Brown,8,,SG,4900,DET,NOR,1,113,17,12,105,110,-2%,11,10,8,36,31,28,30.5,24.1,12.7,35.5,31.5,27.3,5.6,20.8,28.1,5.7
Daniel Gafford,,,PF,4800,CHI,@BOS,1,104,13,17,102,103,-4%,6,4,3,25,21,13,19.8,12.6,2.7,22.5,25.0,23.0,4.8,20.4,21.1,4.4
Jeff Teague,1,,PG,4800,MIN,OKC,1,108,22,17,101,105,-1%,9,8,10,23,22,28,19.3,27.1,16.3,37.8,24.5,24.2,5.0,21.3,17.9,3.7
Jarrett Culver,3,,SF,4700,MIN,OKC,1,108,20,10,101,105,-1%,14,13,10,32,30,24,28.8,20.2,9.5,30.9,30.0,25.4,5.4,31.9,21.0,4.5
Marcus Smart,1,,SG,4700,BOS,CHI,1,113,19,13,102,105,-15%,9,10,11,26,29,31,23.7,27.6,18.2,37.0,29.5,24.5,5.2,33.4,38.0,8.1
Daniel Theis,1,O,PF,4700,BOS,CHI,1,113,15,16,102,105,11%,7,7,6,21,22,23,21.8,22.9,15.6,30.2,0.0,0.0,0.0,0,0.0,0.0
Thaddeus Young,1,,PF,4700,CHI,@BOS,1,104,20,12,102,103,-4%,5,9,9,22,27,22,23.9,19.7,11.5,27.9,23.5,21.3,4.5,24.4,19.9,4.2
Darius Garland,0,,PG,4700,CLE,@LAL,1,103,21,9,103,102,-3%,15,13,11,40,37,30,27.6,19.3,11.0,27.5,34.5,24.1,5.1,29.4,27.4,5.8
Jeremy Lamb,3,,SG,4700,IND,PHI,2,110,20,15,102,104,-5%,11,11,12,30,29,31,31.0,28.4,20.7,36.1,26.5,24.8,5.3,22.6,11.7,2.5
Christian Wood,,,PF,4700,DET,NOR,1,113,20,22,105,110,5%,9,7,6,20,20,17,22.2,19.2,6.8,31.5,18.0,20.1,4.3,25.8,44.3,9.4
Bogdan Bogdanovic,,O,SG,4700,SAC,ORL,2,107,24,14,100,103,3%,11,14,12,24,30,28,24.9,25.4,14.3,36.5,0.0,0.0,0.0,0,0.0,0.0
