Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Luka Doncic,14,,PG,11000,DAL,PHO,0,117,39,29,104,108,3%,25,25,21,35,35,34,52.7,54.3,42.5,66.2,34.5,57.3,5.2,25.3,30.2,2.7
Devin Booker,11,,SG,8700,PHO,@DAL,1,110,30,21,101,108,-6%,22,20,18,40,38,37,46.6,40.7,28.5,52.9,37.5,41.3,4.7,30.7,57.7,6.6
Deandre Ayton,20,,C,7700,PHO,@DAL,1,110,22,20,101,108,0%,15,16,15,38,36,33,40.7,40.6,31.5,49.6,36.0,42.2,5.5,29.2,51.3,6.7
Kristaps Porzingis,2,,PF,7000,DAL,PHO,0,117,25,16,104,108,0%,15,13,15,26,27,31,28.7,36.9,25.7,48.1,27.0,32.6,4.7,20.3,12.1,1.7
Kelly Oubre,10,,SF,6800,PHO,@DAL,1,110,21,15,101,108,1%,17,16,15,36,36,35,31.2,34.6,23.9,45.3,37.0,34.9,5.1,30.7,28.7,4.2
Ricky Rubio,10,,PG,5600,PHO,@DAL,1,110,23,15,101,108,-6%,10,10,12,33,32,33,23.1,34.6,23.0,46.2,32.0,31.2,5.6,26.4,28.7,5.1
Mikal Bridges,5,,SF,4600,PHO,@DAL,1,110,12,13,101,108,1%,9,9,6,29,33,24,24.5,18.9,8.9,28.9,31.5,22.5,4.9,33.7,33.4,7.3
Tim Hardaway Jr.,7,,SF,4600,DAL,PHO,0,117,21,15,104,108,2%,11,12,12,32,31,27,21.8,21.9,12.2,31.5,30.0,24.3,5.3,26,11.9,2.6
Seth Curry,1,,PG,4600,DAL,PHO,0,117,18,15,104,108,0%,9,10,8,32,28,23,21.4,17.2,7.4,27.1,28.5,22.3,4.8,19.4,10.3,2.2
Maxi Kleber,,,PF,4500,DAL,PHO,0,117,14,14,104,108,0%,9,8,7,19,25,25,22.5,20.2,12.7,27.7,21.5,17.9,4.0,19.6,15.0,3.3
Dorian Finney-Smith,1,,SF,4400,DAL,PHO,0,117,13,12,104,108,2%,7,7,7,28,31,30,21.4,20.6,13.8,27.4,29.5,20.4,4.6,22.9,13.1,3.0
Willie Cauley-Stein,,,C,4300,DAL,PHO,0,117,14,16,104,108,2%,8,6,6,23,24,23,24.5,23.7,15.5,32.0,13.5,13.6,3.2,12.4,15.1,3.5
Delon Wright,4,,SG,4200,DAL,PHO,0,117,16,18,104,108,3%,9,6,6,29,23,22,21.4,21.9,12.0,31.8,24.5,24.5,5.8,15.7,5.5,1.3
Boban Marjanovic,,,C,3900,DAL,PHO,0,117,,,104,108,2%,4,7,5,11,12,11,19.9,13.1,1.7,24.6,0.0,0.0,0.0,4.7,6.2,1.6
Dario Saric,0,,PF,3900,PHO,@DAL,1,110,17,13,101,108,-1%,9,8,9,28,27,26,20.6,22.3,11.0,33.5,23.0,17.3,4.4,22.4,19.8,5.1
Jalen Brunson,,,PG,3800,DAL,PHO,0,117,22,16,104,108,3%,7,7,6,15,16,17,16.5,15.5,5.4,25.5,14.0,12.6,3.3,25.1,18.9,5.0
Aron Baynes,,O,C,3800,PHO,@DAL,1,110,20,15,101,108,0%,6,5,9,14,16,23,12.9,23.0,11.9,34.0,0.0,0.0,0.0,0,0.0,0.0
Elie Okobo,,,SG,3700,PHO,@DAL,1,110,17,13,101,108,-6%,1,3,4,13,16,12,10.3,10.6,2.0,19.2,10.5,8.2,2.2,4.7,2.7,0.7
Jevon Carter,,,PG,3600,PHO,@DAL,1,110,14,9,101,108,-6%,3,4,4,10,15,13,10.3,10.2,2.6,17.9,15.0,10.5,2.9,16.8,7.4,2.1
Jalen Lecque,,O,PG,3500,PHO,@DAL,1,110,,,101,108,-6%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Josh Reaves,,,SG,3500,DAL,PHO,0,117,,,104,108,3%,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Tariq Owens,,O,C,3500,PHO,@DAL,1,110,,,101,108,0%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Ty Jerome,,,SG,3500,PHO,@DAL,1,110,,,101,108,-6%,3,2,4,9,7,11,6.3,9.4,1.4,17.4,0.0,0.0,0.0,22.8,20.9,6.0
Cameron Johnson,,O,SF,3500,PHO,@DAL,1,110,15,12,101,108,-6%,7,4,6,24,16,20,11.4,14.5,5.9,23.0,0.0,0.0,0.0,0,0.0,0.0
Jared Harper,,O,PG,3500,PHO,@DAL,1,110,,,101,108,-6%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Tyler Johnson,,,PG,3500,PHO,@DAL,1,110,17,8,101,108,-6%,5,5,6,12,11,17,6.6,11.9,5.3,18.4,0.0,0.0,0.0,17.9,11.0,3.1
Antonius Cleveland,,,SG,3500,DAL,PHO,0,117,,,104,108,0%,1,1,1,5,5,5,2.2,2.2,0.5,3.9,0.0,0.0,0.0,0,0.0,0.0
Frank Kaminsky,,O,PF,3500,PHO,@DAL,1,110,21,15,101,108,-1%,6,7,9,18,17,23,17.1,22.2,12.1,32.3,0.0,0.0,0.0,0,0.0,0.0
Dwight Powell,,O,C,3500,DAL,PHO,0,117,13,16,104,108,0%,8,8,6,31,30,28,25.9,22.9,14.1,31.8,0.0,0.0,0.0,0,0.0,0.0
Courtney Lee,,,SG,3500,DAL,PHO,0,117,,,104,108,0%,1,1,2,6,7,8,2.1,4.8,-1.1,10.6,0.0,0.0,0.0,0,0.0,0.0
Ryan Broekhoff,,,PF,3500,DAL,PHO,0,117,,,104,108,3%,3,3,3,7,10,8,8.4,6.7,1.1,12.3,0.0,0.0,0.0,8.1,5.2,1.5
Justin Jackson,,,SF,3500,DAL,PHO,0,117,16,10,104,108,2%,8,6,6,21,22,17,11.7,11.4,5.3,17.6,18.0,11.9,3.4,18,8.7,2.5
Jose Juan Barea,,,PG,3500,DAL,PHO,0,117,,,104,108,3%,5,7,8,8,17,15,15.0,15.4,8.5,22.3,0.0,0.0,0.0,22.6,25.9,7.4
Cheick Diallo,,,PF,3500,PHO,@DAL,1,110,,,101,108,-1%,2,2,3,11,10,9,8.6,8.8,0.3,17.3,0.0,0.0,0.0,4.7,0.2,0.1
