Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Giannis Antetokounmpo,13,,SF,11400,MIL,PHI,1,118,38,33,101,104,-9%,19,21,20,32,32,31,63.3,57.9,46.8,68.9,32.0,57.0,5.0,35,69.0,6.1
Joel Embiid,7,,C,9000,PHI,@MIL,2,109,31,25,107,100,0%,13,14,16,28,30,31,36.9,45.8,34.1,57.5,33.0,41.0,4.6,33,42.2,4.7
Ben Simmons,9,,PG,8600,PHI,@MIL,2,109,22,21,107,100,0%,11,12,12,36,37,37,43.3,43.9,32.2,55.5,38.0,44.0,5.1,41.5,46.3,5.4
Zach LaVine,15,,SG,8300,CHI,NOR,3,112,31,20,106,109,6%,14,20,20,35,38,35,44.2,39.1,27.0,51.3,36.5,45.0,5.4,30.1,33.1,4.0
Brandon Ingram,12,,SF,8200,NOR,@CHI,1,118,29,21,102,106,3%,21,16,19,37,34,35,35.4,41.9,32.1,51.7,35.0,40.0,4.9,21.3,31.1,3.8
Zion Williamson,14,,PF,7500,NOR,@CHI,1,118,,,102,106,8%,17,15,14,32,30,27,33.9,32.4,27.9,36.9,31.5,34.0,4.5,25.2,31.3,4.2
Khris Middleton,11,,SG,7300,MIL,PHI,1,118,26,22,101,104,-6%,17,16,15,33,35,30,46.0,35.4,26.0,44.8,32.5,37.8,5.2,35.3,32.9,4.5
Jrue Holiday,6,,SG,7100,NOR,@CHI,1,118,26,17,102,106,-14%,14,16,18,31,34,36,37.5,39.6,29.1,50.1,34.0,36.4,5.1,22.8,25.1,3.5
Lonzo Ball,6,,PG,6500,NOR,@CHI,1,118,21,13,102,106,-14%,10,10,11,38,36,32,37.0,31.3,19.7,43.0,35.5,31.0,4.8,32.8,36.6,5.6
Eric Bledsoe,11,,PG,6300,MIL,PHI,1,118,25,19,101,104,-6%,14,15,12,32,32,28,38.1,31.4,21.2,41.6,31.5,34.0,5.4,32.6,34.6,5.5
Tobias Harris,9,,SF,6200,PHI,@MIL,2,109,23,16,107,100,-8%,14,15,16,34,37,35,32.8,34.9,25.6,44.2,35.0,30.0,4.8,38,41.4,6.7
Al Horford,4,,PF,5700,PHI,@MIL,2,109,19,16,107,100,2%,11,11,12,30,31,31,31.7,31.1,22.2,39.9,30.5,32.0,5.6,33.4,25.7,4.5
Tomas Satoransky,7,,PG,5700,CHI,NOR,3,112,18,14,106,109,6%,10,9,8,30,31,29,30.8,25.3,15.8,34.8,31.5,30.0,5.3,22.7,16.6,2.9
Thaddeus Young,6,,PF,5700,CHI,NOR,3,112,20,13,106,109,6%,12,11,9,30,32,23,26.4,20.7,12.3,29.1,32.0,27.0,4.7,31.1,25.7,4.5
Robert Covington,2,,PF,5500,MIN,@LAL,0,,17,14,103,103,-5%,11,11,11,33,32,30,30.0,28.6,19.7,37.5,0.0,0.0,0.0,,0.0,0.0
Brook Lopez,5,,C,5500,MIL,PHI,1,118,16,14,101,104,-10%,13,11,9,34,30,27,28.6,27.6,16.8,38.4,30.0,26.0,4.7,25.3,18.4,3.3
Derrick Favors,7,,PF,5000,NOR,@CHI,1,118,15,20,102,106,8%,5,6,7,24,24,25,22.9,29.1,17.7,40.4,24.5,27.0,5.4,19.3,29.5,5.9
Josh Richardson,,O,SG,4900,PHI,@MIL,2,109,22,13,107,100,-8%,14,13,13,33,33,33,27.1,27.7,18.8,36.6,0.0,0.0,0.0,0,0.0,0.0
Donte DiVincenzo,,,SG,4700,MIL,PHI,1,118,17,15,101,104,-3%,11,8,8,20,22,23,24.3,23.2,15.5,30.9,22.5,21.5,4.6,23.8,18.4,3.9
Josh Hart,4,,SG,4700,NOR,@CHI,1,118,15,12,102,106,-6%,10,8,9,29,27,29,26.8,24.9,16.7,33.2,28.5,22.8,4.9,26,33.4,7.1
Chandler Hutchison,11,,SF,4500,CHI,NOR,3,112,19,14,106,109,5%,10,10,6,25,23,18,21.9,16.2,8.3,24.0,29.5,22.0,4.9,31.6,30.1,6.7
Shake Milton,5,,PG,4300,PHI,@MIL,2,109,,,107,100,-1%,10,8,5,30,29,15,24.9,11.8,0.3,23.3,29.0,21.9,5.1,23.5,18.3,4.3
Luke Kornet,8,,PF,4300,CHI,NOR,3,112,17,12,106,109,6%,11,8,5,26,26,15,21.4,12.5,2.3,22.7,25.5,22.0,5.1,17.1,7.2,1.7
Coby White,5,,PG,4200,CHI,NOR,3,112,23,10,106,109,6%,12,10,11,25,22,24,16.5,19.6,11.1,28.2,25.5,19.0,4.5,31.2,32.7,7.8
Kris Dunn,,O,PG,4000,CHI,NOR,3,112,16,12,106,109,6%,6,6,7,26,29,25,30.4,22.9,13.2,32.6,0.0,0.0,0.0,0,0.0,0.0
J.J. Redick,,,SG,3900,NOR,@CHI,1,118,19,15,102,106,3%,9,9,11,19,23,28,21.3,22.0,13.2,30.8,21.5,15.8,4.1,23,24.7,6.3
Kyle O'Quinn,,O,C,3900,PHI,@MIL,2,109,,,107,100,0%,3,3,3,5,11,10,14.5,11.6,1.5,21.6,0.0,0.0,0.0,0,0.0,0.0
Furkan Korkmaz,,,SG,3800,PHI,@MIL,2,109,18,10,107,100,-1%,9,8,8,21,22,22,13.2,14.8,7.0,22.5,21.5,15.1,4.0,28.3,17.1,4.5
Daniel Gafford,,O,PF,3700,CHI,NOR,3,112,13,17,106,109,6%,1,4,3,5,16,13,14.0,12.2,2.4,22.1,0.0,0.0,0.0,0,0.0,0.0
Wesley Matthews,,,SG,3700,MIL,PHI,1,118,12,9,101,104,-3%,7,6,6,21,23,25,12.8,14.2,7.0,21.4,26.5,15.1,4.1,31.3,14.3,3.9
Nicolo Melli,,,PF,3600,NOR,@CHI,1,118,15,12,102,106,8%,5,5,4,14,14,15,15.2,12.0,2.2,21.9,14.0,12.0,3.3,22.2,26.1,7.3
Otto Porter,,O,SF,3600,CHI,NOR,3,112,,,106,109,5%,11,11,10,27,29,27,21.9,19.8,11.2,28.4,0.0,0.0,0.0,0,0.0,0.0
Matisse Thybulle,0,,SF,3600,PHI,@MIL,2,109,12,10,107,100,0%,3,4,4,19,23,21,12.9,14.9,5.5,24.4,23.5,16.4,4.6,24.2,18.2,5.1
Pat Connaughton,,,SG,3600,MIL,PHI,1,118,12,11,101,104,-3%,4,4,4,24,21,19,17.8,15.1,7.9,22.2,22.0,17.6,4.9,15.6,9.4,2.6
Jordan Bell,,,PF,3500,MIN,@LAL,0,,,,103,103,-9%,2,1,2,7,6,9,5.5,8.0,1.5,14.6,0.0,0.0,0.0,,0.0,0.0
Wendell Carter,,O,C,3500,CHI,NOR,3,112,16,16,106,109,6%,11,9,9,36,31,31,30.1,29.7,21.8,37.6,0.0,0.0,0.0,0,0.0,0.0
Zylan Cheatham,,O,PF,3500,NOR,@CHI,1,118,,,102,106,8%,1,2,2,8,10,10,4.7,4.7,0.5,9.0,0.0,0.0,0.0,0,0.0,0.0
Zhaire Smith,,,SG,3500,PHI,@MIL,2,109,,,107,100,-1%,2,2,2,4,6,6,3.9,3.9,0.9,6.9,0.0,0.0,0.0,0.4,0.0,0.0
Cameron Reynolds,,O,SG,3500,MIL,PHI,1,118,,,101,104,-6%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Marial Shayok,,,SG,3500,PHI,@MIL,2,109,,,107,100,0%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,3.2,0.9
Jaxson Hayes,,,C,3500,NOR,@CHI,1,118,15,18,102,106,8%,2,2,5,4,10,19,8.1,18.9,9.2,28.7,0.0,0.0,0.0,11.5,21.5,6.1
Nickeil Alexander-Walker,,P,SG,3500,NOR,@CHI,1,118,24,8,102,106,-14%,2,2,6,3,5,13,4.5,11.0,1.6,20.5,0.0,0.0,0.0,4.4,0.7,0.2
Shaquille Harrison,,,PG,3500,CHI,NOR,3,112,,,106,109,6%,4,3,3,8,7,7,8.4,7.7,-1.8,17.3,11.5,11.5,3.3,17.9,20.6,5.9
Thanasis Antetokounmpo,,,SF,3500,MIL,PHI,1,118,,,101,104,-6%,2,1,2,3,3,4,2.2,3.4,-1.6,8.5,0.0,0.0,0.0,0,0.0,0.0
Norvel Pelle,,O,PF,3500,PHI,@MIL,2,109,,,107,100,0%,1,2,2,13,13,11,13.4,11.3,4.3,18.4,0.0,0.0,0.0,0,0.0,0.0
