Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
James Harden,6,,SG,11400,HOU,DEN,1,119,38,30,100,106,-6%,25,26,25,39,39,38,54.2,60.1,47.9,72.2,37.5,57.3,5.0,31.4,43.5,3.8
LeBron James,10,,SF,11200,LAL,@NYK,1,117,34,26,101,111,0%,19,19,20,32,33,35,50.6,52.4,42.1,62.8,34.5,53.3,4.8,36,46.7,4.2
Anthony Davis,4,,PF,10900,LAL,@NYK,1,117,29,28,101,111,8%,12,15,19,33,36,35,52.8,53.2,41.5,64.8,30.0,46.0,4.2,30.1,49.5,4.5
Kawhi Leonard,,O,PF,10600,LAC,@ATL,0,116,34,26,106,111,21%,29,25,21,35,33,33,58.5,48.3,38.4,58.3,0.0,0.0,0.0,0,0.0,0.0
Nikola Jokic,2,,C,10400,DEN,@HOU,1,109,28,24,106,107,-2%,16,15,15,33,34,32,45.6,42.8,31.3,54.4,34.5,47.5,4.6,34.1,48.4,4.7
Andre Drummond,4,O,C,10300,DET,SAC,1,110,24,22,100,109,-6%,13,14,14,31,34,34,50.2,48.9,36.2,61.6,0.0,0.0,0.0,0,0.0,0.0
Trae Young,4,O,PG,10200,ATL,LAC,1,111,36,24,105,105,-1%,18,19,22,33,34,36,49.9,48.7,36.1,61.3,0.0,0.0,0.0,0,0.0,0.0
Karl-Anthony Towns,8,,C,10100,MIN,@CHI,1,109,29,28,102,105,12%,15,18,18,31,32,34,41.1,50.3,37.6,62.9,34.0,51.5,5.1,31.3,48.2,4.8
Rudy Gobert,3,,C,10000,UTA,@GSW,1,114,16,23,103,109,2%,11,11,9,32,36,35,51.0,42.1,31.9,52.3,34.5,44.6,4.5,30.3,54.0,5.4
Russell Westbrook,10,,PG,9900,HOU,DEN,1,119,34,20,100,106,-6%,24,24,22,39,37,36,56.4,48.3,37.6,59.0,37.5,50.6,5.1,34.3,69.2,7.0
