Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Damian Lillard,13,,PG,9400,POR,@UTA,0,109,31,27,101,106,-2%,22,25,21,34,37,38,57.6,48.4,35.2,61.6,37.0,48.3,5.1,43.5,63.2,6.7
De'Aaron Fox,5,,PG,8300,SAC,MIA,3,110,31,21,100,107,-10%,17,18,16,34,33,32,44.5,39.7,28.0,51.4,34.0,42.4,5.1,36.2,35.4,4.3
Hassan Whiteside,2,O,C,8300,POR,@UTA,0,109,19,25,101,106,2%,9,10,11,30,31,31,47.3,43.0,29.7,56.4,0.0,0.0,0.0,0,0.0,0.0
Bam Adebayo,19,,PF,8000,MIA,@SAC,1,109,20,21,100,109,-5%,15,13,11,38,36,35,45.0,41.0,30.5,51.5,37.0,44.2,5.5,36.4,39.9,5.0
Rudy Gobert,14,,C,7900,UTA,POR,1,119,16,23,104,110,5%,7,7,9,36,36,35,36.9,42.1,32.1,52.1,35.0,45.8,5.8,35.1,35.8,4.5
Jimmy Butler,,O,SG,7800,MIA,@SAC,1,109,26,24,100,109,8%,14,13,13,27,31,34,39.1,42.6,33.6,51.7,0.0,0.0,0.0,0,0.0,0.0
Donovan Mitchell,8,,SG,7100,UTA,POR,1,119,31,20,104,110,-5%,23,20,21,34,35,35,33.5,38.5,29.3,47.6,34.5,38.5,5.4,35.1,35.7,5.0
C.J. McCollum,4,,SG,6400,POR,@UTA,0,109,25,17,101,106,-9%,19,18,19,31,35,36,31.3,35.2,24.9,45.6,35.5,33.6,5.3,42.7,38.5,6.0
Shabazz Napier,1,,PG,5800,DEN,@WAS,1,,,,105,114,7%,12,8,8,32,30,24,33.0,23.4,12.4,34.4,0.0,0.0,0.0,,0.0,0.0
Richaun Holmes,1,O,PF,5600,SAC,MIA,3,110,15,21,100,107,1%,8,10,9,27,30,30,32.1,31.5,19.9,43.1,0.0,0.0,0.0,0,0.0,0.0
Dewayne Dedmon,,,C,5500,SAC,MIA,3,110,18,9,100,107,-5%,8,6,5,33,25,16,25.4,13.9,4.0,23.9,0.0,0.0,0.0,,0.0,0.0
Bojan Bogdanovic,8,,SF,5500,UTA,POR,1,119,25,16,104,110,7%,15,15,16,32,33,34,29.0,28.7,20.6,36.9,33.5,30.5,5.5,34,38.3,7.0
Nemanja Bjelica,7,,PF,5400,SAC,MIA,3,110,18,16,100,107,1%,9,8,10,29,30,29,25.0,27.4,16.8,38.0,33.0,32.1,5.9,36.8,31.2,5.8
Goran Dragic,15,,PG,5300,MIA,@SAC,1,109,26,17,100,109,-3%,13,11,12,29,29,28,28.0,27.4,18.9,35.8,31.5,31.0,5.8,28.3,25.3,4.8
Buddy Hield,2,,SG,5300,SAC,MIA,3,110,27,16,100,107,-2%,15,16,18,28,28,34,32.9,32.7,22.8,42.6,27.0,27.4,5.2,35.7,34.9,6.6
Marvin Bagley,,O,PF,5200,SAC,MIA,3,110,25,16,100,107,1%,16,14,13,34,28,26,29.4,27.1,21.0,33.3,0.0,0.0,0.0,0,0.0,0.0
Mike Conley,9,,PG,5200,UTA,POR,1,119,24,13,104,110,8%,17,12,12,32,26,28,22.1,24.1,14.0,34.1,31.5,31.3,6.0,31.4,32.6,6.3
Derrick Jones Jr.,6,,SF,5200,MIA,@SAC,1,109,14,14,100,109,2%,10,7,7,34,28,26,26.1,21.3,11.8,30.7,34.0,28.0,5.4,29.8,18.2,3.5
Carmelo Anthony,4,,SF,5100,POR,@UTA,0,109,21,12,101,106,-6%,10,12,14,31,32,33,23.2,28.4,18.1,38.6,34.0,28.4,5.6,38.6,12.6,2.5
Bogdan Bogdanovic,0,,SG,5100,SAC,MIA,3,110,23,14,100,107,-2%,8,10,12,29,29,28,24.7,24.8,14.7,35.0,29.5,25.9,5.1,35.9,41.8,8.2
Harrison Barnes,1,,SF,4700,SAC,MIA,3,110,18,13,100,107,-1%,10,7,11,32,32,35,16.7,24.6,15.2,34.1,34.5,23.6,5.0,27.9,17.5,3.7
Kendrick Nunn,12,,PG,4600,MIA,@SAC,1,109,23,14,100,109,-3%,12,13,14,30,33,31,27.0,26.3,17.1,35.4,35.0,31.2,6.8,33.8,25.7,5.6
Gorgui Dieng,,,C,4400,MIN,@PHI,1,,18,18,101,104,-11%,4,3,6,10,9,17,10.2,20.2,7.3,33.1,0.0,0.0,0.0,,0.0,0.0
Joe Ingles,4,,SF,4400,UTA,POR,1,119,17,13,104,110,7%,3,6,8,29,31,30,16.8,24.2,14.4,33.9,29.0,24.7,5.6,33.1,25.7,5.8
Justise Winslow,1,,SF,4300,MIA,@SAC,1,109,21,9,100,109,2%,14,11,13,33,31,34,24.5,28.4,16.4,40.3,0.0,0.0,0.0,,0.0,0.0
Duncan Robinson,7,,SG,4300,MIA,@SAC,1,109,15,12,100,109,-3%,10,10,9,34,33,29,21.2,20.1,12.2,27.9,35.0,23.8,5.5,41.5,32.0,7.4
Jordan Clarkson,2,,SG,4200,UTA,POR,1,119,26,18,104,110,8%,11,13,12,23,25,24,22.8,22.5,14.0,31.0,23.5,20.6,4.9,20.5,15.9,3.8
Trevor Ariza,2,,SF,4200,POR,@UTA,0,109,12,10,101,106,-7%,6,7,6,32,34,27,21.8,18.2,8.2,28.2,34.0,22.2,5.3,9.4,2.0,0.5
John Henson,1,,C,4000,CLE,@OKC,1,,17,17,101,106,-12%,7,5,4,25,19,14,17.9,16.2,7.4,25.0,0.0,0.0,0.0,,0.0,0.0
Harry Giles,,,PF,4000,SAC,MIA,3,110,,,100,107,1%,6,4,4,15,11,11,13.1,12.0,4.1,19.9,21.0,21.5,5.4,13.6,19.0,4.8
Kelly Olynyk,2,,C,3900,MIA,@SAC,1,109,16,13,100,109,-5%,6,7,6,23,23,20,22.2,17.3,7.2,27.4,25.5,21.6,5.5,18.6,14.2,3.6
Dion Waiters,,,SF,3900,MIA,@SAC,1,109,,,100,109,8%,7,9,9,12,14,14,16.2,16.2,8.3,24.2,0.0,0.0,0.0,,0.0,0.0
Tyler Herro,,O,SG,3900,MIA,@SAC,1,109,22,12,100,109,-3%,13,14,12,27,32,29,26.3,22.6,13.4,31.8,0.0,0.0,0.0,0,0.0,0.0
Meyers Leonard,,O,C,3800,MIA,@SAC,1,109,12,11,100,109,-5%,9,6,5,22,20,20,13.9,14.8,5.9,23.6,0.0,0.0,0.0,0,0.0,0.0
Kent Bazemore,0,,SF,3700,SAC,MIA,3,110,16,8,100,107,-2%,6,6,7,19,19,25,16.9,18.3,10.3,26.3,20.0,14.5,3.9,24,23.0,6.2
Gary Trent,,,SG,3700,POR,@UTA,0,109,15,11,101,106,-9%,8,8,5,21,23,17,18.9,11.5,1.4,21.6,24.0,15.9,4.3,37.8,34.3,9.3
Cory Joseph,0,,PG,3700,SAC,MIA,3,110,15,10,100,107,-10%,6,6,6,20,22,25,17.2,16.7,8.4,25.1,18.5,12.1,3.3,19.4,5.7,1.5
Caleb Swanigan,,,PF,3600,POR,@UTA,0,109,,,101,106,-6%,5,3,2,16,13,9,11.2,7.2,1.1,13.2,22.5,19.1,5.3,28.3,22.2,6.2
Royce O'Neale,1,,PF,3600,UTA,POR,1,119,9,9,104,110,7%,5,5,5,22,25,29,16.5,18.6,12.1,25.1,24.5,16.8,4.7,29.6,16.0,4.4
