Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Kawhi Leonard,13,,PF,10500,LAC,SAC,3,120,35,27,100,109,1%,21,24,21,36,35,33,62.2,49.2,38.9,59.5,34.0,50.4,4.8,0,0.0,0.0
Nikola Jokic,13,,C,10200,DEN,UTA,1,107,28,24,101,105,0%,17,18,15,39,36,32,50.1,44.1,32.7,55.5,35.0,50.6,5.0,34.7,53.8,5.3
Trae Young,13,,PG,9500,ATL,PHI,1,111,36,24,101,103,-8%,19,19,22,34,34,36,52.3,49.0,36.1,61.9,35.5,47.8,5.0,38.1,72.2,7.6
Ben Simmons,12,,PG,9300,PHI,@ATL,1,118,22,21,106,111,1%,13,12,12,34,38,37,52.0,44.0,32.2,55.8,37.5,49.4,5.3,42.3,54.7,5.9
Joel Embiid,20,,C,9000,PHI,@ATL,1,118,31,26,106,111,6%,15,17,16,29,32,31,41.9,46.7,35.3,58.0,30.5,49.8,5.5,34.5,43.3,4.8
Brad Beal,24,,SG,9000,WAS,CHA,1,115,33,22,99,110,1%,27,24,22,38,35,36,50.7,45.1,33.7,56.5,37.0,48.9,5.4,34.9,58.3,6.5
Rudy Gobert,11,,C,9000,UTA,@DEN,0,109,16,23,100,106,-3%,6,9,9,35,34,35,45.0,42.4,32.2,52.6,35.5,43.7,4.9,37.3,43.7,4.9
Pascal Siakam,10,,SF,8600,TOR,@CLE,1,117,29,19,101,113,2%,22,19,20,32,32,36,40.0,42.1,32.3,51.9,33.5,38.8,4.5,33.8,40.0,4.7
Paul George,6,,SF,8200,LAC,SAC,3,120,31,21,100,109,1%,20,19,18,33,35,31,39.1,39.5,26.2,52.8,31.0,39.4,4.8,19.3,17.8,2.2
Kemba Walker,18,,PG,7900,BOS,GSW,1,119,29,22,103,110,9%,22,18,18,38,34,33,43.0,38.5,27.0,50.1,33.5,42.8,5.4,31,29.3,3.7
De'Aaron Fox,8,,PG,7800,SAC,@LAC,0,106,31,20,105,104,0%,16,17,15,32,32,32,38.3,38.9,27.5,50.2,32.5,40.7,5.2,35.2,64.6,8.3
Jayson Tatum,5,,PF,7500,BOS,GSW,1,119,27,19,103,110,4%,19,19,18,34,34,34,44.6,38.5,28.0,49.0,25.0,29.7,4.0,23.9,34.2,4.6
D'Angelo Russell,14,,SG,7400,GSW,@BOS,1,106,33,20,102,103,-11%,22,22,20,36,35,33,44.1,39.2,26.1,52.3,34.0,38.1,5.1,28.3,38.1,5.1
John Collins,11,,PF,7400,ATL,PHI,1,111,23,22,101,103,-9%,13,15,14,28,31,30,42.3,38.7,28.0,49.5,32.5,40.0,5.4,33.9,41.0,5.5
Kyle Lowry,19,,PG,7400,TOR,@CLE,1,117,24,18,101,113,7%,11,11,15,35,34,38,33.7,39.3,31.4,47.2,34.0,36.2,4.9,37,45.5,6.1
Fred Van Vleet,16,,SG,7300,TOR,@CLE,1,117,24,17,101,113,7%,16,14,15,35,35,37,35.5,38.1,28.2,48.0,34.5,36.8,5.0,36.5,35.4,4.8
Donovan Mitchell,14,,SG,7200,UTA,@DEN,0,109,31,21,100,106,-3%,23,21,21,35,34,35,39.7,39.4,30.8,47.9,35.5,37.3,5.2,34.8,18.0,2.5
Tobias Harris,15,,SF,6900,PHI,@ATL,1,118,23,17,106,111,20%,15,16,16,38,37,35,33.0,35.2,26.0,44.5,36.0,38.2,5.5,35.2,34.8,5.0
Terry Rozier,14,,PG,6800,CHA,@WAS,1,112,25,15,106,114,7%,15,13,15,36,35,35,32.6,31.5,20.7,42.3,35.5,33.8,5.0,37.3,37.9,5.6
Kevin Love,4,,PF,6800,CLE,TOR,1,106,24,18,103,102,4%,13,15,13,25,29,32,29.7,34.5,24.1,44.9,30.0,33.6,4.9,32.7,36.0,5.3
Jaylen Brown,13,,SF,6600,BOS,GSW,1,119,24,18,103,110,5%,16,15,15,39,35,34,34.3,33.9,24.8,43.0,34.5,36.7,5.6,26.6,30.4,4.6
Devonte' Graham,16,,SG,6600,CHA,@WAS,1,112,27,16,106,114,7%,11,13,16,33,35,35,28.2,35.0,24.9,45.2,36.0,36.3,5.5,35.4,34.6,5.2
Montrezl Harrell,8,,C,6600,LAC,SAC,3,120,26,23,100,109,-9%,15,15,14,28,28,29,35.5,34.5,23.9,45.1,29.0,33.2,5.0,29.3,41.9,6.3
Al Horford,1,O,PF,6500,PHI,@ATL,1,118,19,16,106,111,8%,10,11,12,33,32,31,30.2,31.2,22.3,40.1,0.0,0.0,0.0,0,0.0,0.0
Gordon Hayward,15,,SF,6400,BOS,GSW,1,119,21,18,103,110,4%,15,13,13,38,35,33,34.7,32.5,21.9,43.1,33.5,35.3,5.5,32.6,43.1,6.7
Buddy Hield,5,,SG,6200,SAC,@LAC,0,106,27,15,105,104,-1%,20,19,18,33,36,35,36.5,33.1,23.0,43.1,28.0,26.8,4.3,26.3,30.9,5.0
Nemanja Bjelica,4,,PF,6100,SAC,@LAC,0,106,18,17,105,104,-4%,8,10,10,33,33,28,32.4,27.2,16.3,38.2,32.0,31.5,5.2,28.8,18.1,3.0
Will Barton,12,,SF,6100,DEN,UTA,1,107,20,16,101,105,-8%,9,11,13,28,32,34,27.1,32.1,22.3,41.9,33.5,30.5,5.0,36.4,28.5,4.7
Jerami Grant,3,,PF,6000,DEN,UTA,1,107,18,14,101,105,-7%,15,15,8,34,34,25,37.5,20.2,10.7,29.6,35.0,29.4,4.9,34,23.0,3.8
Collin Sexton,8,,PG,6000,CLE,TOR,1,106,27,16,103,102,-2%,20,18,16,35,35,32,34.3,28.3,21.1,35.6,33.5,30.8,5.1,32.9,35.8,6.0
Draymond Green,10,,PF,5900,GSW,@BOS,1,106,18,12,102,103,1%,8,7,8,33,31,29,29.9,29.3,18.7,40.0,31.0,29.8,5.1,27.3,24.3,4.1
Jamal Murray,,O,PG,5800,DEN,UTA,1,107,26,17,101,105,-2%,17,17,16,37,35,33,36.7,33.5,22.4,44.6,0.0,0.0,0.0,0,0.0,0.0
Larry Nance Jr.,0,,PF,5700,CLE,TOR,1,106,15,17,103,102,4%,11,11,7,25,26,24,35.1,23.2,13.4,33.0,24.0,22.8,4.0,25.6,26.8,4.7
Marcus Smart,4,,SG,5600,BOS,GSW,1,119,19,14,103,110,9%,13,11,11,36,32,32,27.2,29.3,18.3,40.3,29.5,28.4,5.1,27.4,35.6,6.4
Louis Williams,8,,SG,5600,LAC,SAC,3,120,30,18,100,109,8%,12,16,15,27,30,30,32.0,32.1,22.7,41.6,27.5,29.7,5.3,30,28.0,5.0
Serge Ibaka,20,,PF,5600,TOR,@CLE,1,117,23,18,101,113,2%,13,11,12,25,24,27,29.8,29.5,20.7,38.2,31.0,34.9,6.2,33.2,37.3,6.7
Dave Bertans,7,,PF,5600,WAS,CHA,1,115,18,16,99,110,0%,10,10,11,31,29,29,26.9,26.6,18.1,35.0,30.0,29.2,5.2,28.1,10.3,1.8
Marvin Bagley,,O,PF,5600,SAC,@LAC,0,106,25,16,105,104,-4%,16,14,13,34,28,26,29.4,27.1,21.0,33.3,0.0,0.0,0.0,0,0.0,0.0
Bojan Bogdanovic,8,,SF,5500,UTA,@DEN,0,109,25,17,100,106,-7%,17,15,16,34,33,34,27.0,28.8,20.4,37.2,34.0,29.1,5.3,35.3,23.7,4.3
Richaun Holmes,,O,PF,5400,SAC,@LAC,0,106,15,21,105,104,-4%,8,10,9,27,30,30,32.1,31.5,19.9,43.1,0.0,0.0,0.0,0,0.0,0.0
Josh Richardson,,O,SG,5300,PHI,@ATL,1,118,22,13,106,111,20%,14,13,13,33,33,33,27.1,27.7,18.8,36.6,0.0,0.0,0.0,0,0.0,0.0
PJ Washington,5,,PF,5300,CHA,@WAS,1,112,18,13,106,114,7%,7,10,10,25,30,31,26.5,25.9,16.4,35.4,31.5,26.5,5.0,22.7,19.7,3.7
Daniel Theis,14,,PF,5200,BOS,GSW,1,119,15,17,103,110,-2%,9,8,6,30,26,23,30.5,24.5,16.9,32.1,29.0,31.7,6.1,25.7,22.1,4.3
Troy Brown,8,,SF,5100,WAS,CHA,1,115,17,15,99,110,0%,11,8,9,33,28,26,22.1,23.9,13.2,34.5,31.5,29.5,5.8,34.6,25.7,5.0
Tristan Thompson,3,,C,5000,CLE,TOR,1,106,18,17,103,102,-9%,7,8,10,25,30,31,28.9,31.1,19.4,42.7,27.5,24.8,5.0,26.6,14.9,3.0
Ishmael Smith,8,,PG,5000,WAS,CHA,1,115,20,14,99,110,-5%,8,9,10,28,27,27,22.8,24.1,13.3,34.9,26.5,24.7,4.9,25.5,29.5,5.9
Kevin Huerter,11,,SG,4900,ATL,PHI,1,111,18,12,101,103,-4%,11,11,10,38,34,29,24.8,24.5,14.4,34.5,35.5,29.2,6.0,32.5,19.4,4.0
Alec Burks,6,,SF,4900,GSW,@BOS,1,106,24,16,102,103,-3%,11,13,13,26,30,30,30.6,29.6,18.2,41.0,26.0,24.6,5.0,24.4,23.8,4.9
Norman Powell,1,,SG,4900,TOR,@CLE,1,117,20,17,101,113,7%,10,11,11,23,25,28,24.5,25.7,14.9,36.5,24.5,23.1,4.7,25.5,24.0,4.9
Michael Porter,6,,PF,4900,DEN,UTA,1,107,22,20,101,105,-5%,11,11,6,23,25,14,30.5,15.2,2.8,27.7,24.0,25.0,5.1,25.2,33.4,6.8
Patrick Beverley,5,,PG,4900,LAC,SAC,3,120,14,13,100,109,-4%,6,7,7,26,27,29,32.7,26.1,16.2,36.0,28.5,26.5,5.4,24.3,24.7,5.0
Marc Gasol,,O,C,4900,TOR,@CLE,1,117,14,12,101,113,1%,7,7,7,27,26,29,24.0,25.6,16.2,35.0,0.0,0.0,0.0,0,0.0,0.0
Joe Ingles,6,,SF,4900,UTA,@DEN,0,109,17,14,100,106,-7%,8,7,9,32,29,30,20.6,24.6,14.9,34.3,30.5,25.0,5.1,34,27.8,5.7
Marquese Chriss,8,,C,4800,GSW,@BOS,1,106,19,18,102,103,1%,8,7,6,26,21,18,22.7,19.9,10.1,29.7,24.5,25.8,5.4,23,23.1,4.8
Jordan McRae,,O,SG,4700,WAS,CHA,1,115,25,15,99,110,1%,9,9,11,18,20,23,17.9,24.3,11.4,37.2,0.0,0.0,0.0,0,0.0,0.0
Miles Bridges,4,,SF,4700,CHA,@WAS,1,112,19,12,106,114,4%,8,9,11,23,24,30,13.1,23.7,14.1,33.4,27.5,22.5,4.8,34.4,40.7,8.7
Ian Mahinmi,1,,C,4700,WAS,CHA,1,115,16,15,99,110,9%,5,6,6,18,24,23,25.7,23.4,12.9,33.9,21.5,22.7,4.8,22,19.1,4.1
Cedi Osman,1,,SF,4600,CLE,TOR,1,106,17,11,103,102,3%,9,11,9,24,28,29,24.7,20.6,12.6,28.6,26.0,19.6,4.3,22.4,22.0,4.8
Glenn Robinson III,3,,SF,4500,GSW,@BOS,1,106,16,13,102,103,-3%,11,10,11,35,32,32,27.7,23.5,15.7,31.2,32.0,23.0,5.1,27.9,18.7,4.2
De'Andre Hunter,2,,SF,4500,ATL,PHI,1,111,18,8,101,103,-8%,12,12,11,30,31,31,24.9,21.0,11.3,30.8,30.5,18.8,4.2,36.5,21.4,4.8
Matisse Thybulle,9,,SF,4400,PHI,@ATL,1,118,12,10,106,111,1%,6,7,5,30,30,21,19.4,15.4,5.7,25.0,28.5,23.1,5.3,17.5,11.4,2.6
Chris Boucher,,,PF,4400,TOR,@CLE,1,117,19,20,101,113,2%,5,4,5,8,9,13,12.6,15.5,4.0,27.0,15.0,16.9,3.8,14.8,17.8,4.0
Monte Morris,16,,PG,4400,DEN,UTA,1,107,20,15,101,105,-2%,12,10,7,35,30,20,25.6,17.3,8.3,26.3,31.5,27.7,6.3,32.1,12.2,2.8
Malik Monk,1,,SG,4400,CHA,@WAS,1,112,22,12,106,114,6%,15,11,8,28,23,20,24.1,16.6,5.9,27.3,24.0,20.8,4.7,27.5,15.3,3.5
Thomas Bryant,16,,C,4400,WAS,CHA,1,115,19,19,99,110,9%,9,7,9,25,21,25,22.7,26.9,15.0,38.9,21.0,23.7,5.4,23.4,31.6,7.2
Cody Zeller,3,,C,4400,CHA,@WAS,1,112,21,18,106,114,4%,11,9,8,25,23,23,20.3,23.4,13.7,33.0,23.5,23.7,5.4,24.3,29.9,6.8
Landry Shamet,2,,PG,4400,LAC,SAC,3,120,14,9,100,109,8%,15,11,8,40,36,29,24.1,16.7,9.8,23.6,25.0,14.6,3.3,31.3,21.9,5.0
Rui Hachimura,,O,PF,4400,WAS,CHA,1,115,19,14,99,110,7%,7,12,12,23,31,29,23.8,25.0,14.5,35.5,0.0,0.0,0.0,0,0.0,0.0
Enes Kanter,,O,C,4300,BOS,GSW,1,119,20,24,103,110,3%,9,7,7,22,19,20,21.3,25.4,15.5,35.3,0.0,0.0,0.0,0,0.0,0.0
