Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Russell Westbrook,18,,PG,11000,HOU,@POR,1,123,34,21,103,110,8%,28,26,23,38,38,36,62.6,49.4,38.2,60.7,36.5,53.1,4.8,41.7,63.0,5.7
James Harden,11,,SG,10700,HOU,@POR,1,123,38,29,103,110,8%,13,17,24,33,36,38,42.1,58.9,45.9,71.9,35.5,54.5,5.1,38.3,36.0,3.4
Andre Drummond,7,P,C,10200,DET,@BKN,1,110,24,22,104,106,9%,16,13,14,36,35,34,49.5,48.8,36.4,61.3,34.5,53.2,5.2,35.1,40.6,4.0
Damian Lillard,19,,PG,9800,POR,HOU,2,119,31,26,106,107,1%,26,27,20,40,40,38,64.3,47.3,35.2,59.4,37.5,50.4,5.1,39.2,59.5,6.1
Kyrie Irving,13,,PG,9300,BKN,DET,2,116,33,26,101,109,2%,24,20,22,37,35,34,47.2,48.0,34.9,61.0,33.5,47.3,5.1,32.8,35.5,3.8
Rudy Gobert,5,,C,9200,UTA,@SAS,1,113,16,23,102,110,-1%,7,10,9,37,34,35,49.8,42.6,32.3,52.9,35.5,45.3,4.9,32.3,35.8,3.9
Hassan Whiteside,14,,C,8900,POR,HOU,2,119,19,25,106,107,-1%,10,10,11,35,36,31,45.9,42.5,29.9,55.1,33.5,46.7,5.2,28.2,41.0,4.6
Zach LaVine,8,P,SG,8700,CHI,@IND,1,103,31,20,101,105,0%,26,22,20,37,35,34,40.9,39.1,26.6,51.6,35.5,40.6,4.7,44.4,37.3,4.3
Domas Sabonis,24,,PF,8500,IND,CHI,2,112,24,21,102,105,11%,15,14,14,39,36,35,43.9,42.1,32.8,51.3,36.0,46.4,5.5,37.9,34.7,4.1
De'Aaron Fox,18,,PG,8100,SAC,OKC,1,108,31,20,101,106,2%,16,17,15,31,32,32,39.5,39.1,27.6,50.6,33.0,41.8,5.2,27.6,32.7,4.0
DeMar DeRozan,18,,SG,7900,SAS,UTA,1,108,27,22,101,105,-8%,15,15,16,35,36,35,39.8,39.1,30.3,47.9,35.5,40.8,5.2,37.3,50.5,6.4
Clint Capela,10,,C,7800,HOU,@POR,1,123,16,21,103,110,5%,10,10,10,31,31,34,34.9,40.1,28.7,51.5,33.0,40.1,5.1,17.1,8.9,1.1
LaMarcus Aldridge,,O,PF,7700,SAS,UTA,1,108,22,21,101,105,-5%,9,13,15,36,35,34,38.3,38.3,27.5,49.1,0.0,0.0,0.0,0,0.0,0.0
Donovan Mitchell,16,,SG,7600,UTA,@SAS,1,113,31,21,102,110,0%,25,24,21,37,36,35,43.9,39.4,30.7,48.1,35.0,38.2,5.0,33.6,38.2,5.0
Julius Randle,22,,PF,7500,NYK,MEM,0,110,28,17,106,109,1%,21,18,16,35,33,33,36.7,35.6,26.8,44.3,34.0,39.5,5.3,35.6,38.8,5.2
Shai Gilgeous-Alexander,12,,SG,7500,OKC,@SAC,1,111,24,17,100,109,8%,17,14,16,33,36,36,39.1,35.6,25.1,46.1,35.0,36.5,4.9,38.6,42.9,5.7
Derrick Rose,12,,PG,7500,DET,@BKN,1,110,32,22,104,106,10%,22,20,15,35,32,27,41.2,31.9,23.3,40.4,31.5,37.5,5.0,30.8,34.7,4.6
C.J. McCollum,15,,SG,7400,POR,HOU,2,119,26,17,106,107,7%,20,20,19,37,36,37,36.2,35.7,25.1,46.3,35.5,37.2,5.0,38.4,41.5,5.6
Ja Morant,7,,PG,7300,MEM,@NYK,0,112,28,18,101,111,0%,15,12,14,32,31,30,31.2,33.4,22.5,44.3,32.0,35.1,4.8,27.5,45.6,6.2
Chris Paul,16,,PG,7200,OKC,@SAC,1,111,24,21,100,109,-4%,16,15,13,30,30,32,42.3,36.4,27.2,45.6,32.0,36.2,5.0,26.3,33.4,4.6
Spencer Dinwiddie,7,,SG,6900,BKN,DET,2,116,31,18,101,109,2%,13,13,17,35,32,32,29.8,36.8,26.7,46.8,31.5,34.0,4.9,29.2,39.6,5.7
Buddy Hield,7,,SG,6500,SAC,OKC,1,108,27,15,101,106,-6%,20,19,18,33,36,35,36.5,33.1,23.0,43.1,32.5,31.8,4.9,23.3,16.4,2.5
Jonas Valanciunas,6,,C,6500,MEM,@NYK,0,112,22,22,101,111,-4%,12,11,11,29,27,26,34.6,33.1,20.8,45.3,27.5,33.8,5.2,30.7,35.6,5.5
Nemanja Bjelica,11,,PF,6400,SAC,OKC,1,108,18,17,101,106,-11%,11,10,10,36,35,28,34.6,27.6,17.0,38.3,33.5,32.7,5.1,24.1,7.5,1.2
Jaren Jackson,11,,PF,6400,MEM,@NYK,0,112,24,18,101,111,8%,11,13,14,32,30,29,33.3,31.5,22.0,41.1,31.0,32.8,5.1,19.3,15.9,2.5
Danilo Gallinari,14,,SF,6200,OKC,@SAC,1,111,23,20,100,109,1%,11,13,14,30,32,31,34.8,30.8,23.4,38.2,31.5,31.7,5.1,29.1,27.8,4.5
Jarrett Allen,7,,PF,6200,BKN,DET,2,116,15,20,101,109,0%,8,7,7,36,32,28,31.0,30.5,19.1,42.0,27.5,31.2,5.0,27.5,34.2,5.5
