Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
James Harden,16,,SG,11700,HOU,@MEM,2,123,39,32,106,109,4%,29,24,25,40,38,38,66.2,61.4,49.5,73.3,37.5,65.6,5.6,39.1,59.2,5.1
Giannis Antetokounmpo,6,,SF,11300,MIL,NYK,2,123,37,33,101,111,8%,16,17,20,28,30,31,49.8,57.3,45.8,68.8,30.0,57.5,5.1,21.4,55.8,4.9
Luka Doncic,15,,PG,10900,DAL,@GSW,2,116,39,31,103,109,8%,17,23,21,33,36,34,53.1,55.0,42.9,67.1,35.0,59.7,5.5,27,32.6,3.0
Trae Young,15,,PG,10000,ATL,PHO,1,114,36,23,104,108,3%,25,22,22,35,37,36,50.9,48.1,35.5,60.6,35.0,50.0,5.0,37.8,58.8,5.9
Kawhi Leonard,15,,PF,9800,LAC,CLE,1,120,34,25,101,113,2%,25,22,20,37,34,33,46.0,46.6,37.7,55.5,34.5,53.5,5.5,28.7,60.6,6.2
Russell Westbrook,,O,PG,9200,HOU,@MEM,2,123,34,19,106,109,4%,25,24,22,33,35,36,44.4,46.9,36.9,56.9,0.0,0.0,0.0,0,0.0,0.0
Rudy Gobert,6,,C,9000,UTA,@BKN,1,113,16,22,105,105,6%,10,10,9,33,34,35,41.2,40.9,31.1,50.7,34.5,45.0,5.0,36.5,58.6,6.5
Devin Booker,15,,SG,8700,PHO,@ATL,1,116,29,20,106,110,6%,14,19,18,37,38,37,43.6,39.8,28.4,51.3,37.0,42.4,4.9,34.1,54.9,6.3
Paul George,,O,SF,8500,LAC,CLE,1,120,31,21,101,113,2%,20,19,18,33,35,31,39.1,39.5,26.2,52.8,0.0,0.0,0.0,0,0.0,0.0
John Collins,8,,PF,8300,ATL,PHO,1,114,22,20,104,108,1%,12,12,14,28,30,31,35.2,39.2,29.1,49.3,33.0,43.9,5.3,29.3,42.0,5.1
Kyrie Irving,2,,PG,8000,BKN,UTA,1,110,35,27,101,104,-3%,25,23,23,36,34,34,43.8,48.3,35.0,61.6,26.5,35.0,4.4,32.2,62.5,7.8
Clint Capela,13,,C,7900,HOU,@MEM,2,123,15,22,106,109,5%,11,12,10,33,32,34,42.1,41.1,29.2,53.0,35.0,44.8,5.7,33.1,34.2,4.3
Julius Randle,5,,PF,7700,NYK,@MIL,1,106,27,17,107,100,1%,19,17,15,32,33,32,39.5,35.0,25.9,44.2,32.0,37.4,4.9,26.8,43.5,5.6
Deandre Ayton,5,,C,7600,PHO,@ATL,1,116,22,19,106,110,5%,16,14,14,28,33,30,37.5,36.6,28.9,44.4,31.5,38.9,5.1,32.8,35.5,4.7
Kristaps Porzingis,,,PF,7500,DAL,@GSW,2,116,25,17,103,109,0%,11,14,16,28,33,33,38.1,38.7,28.1,49.4,0.0,0.0,0.0,0,0.0,0.0
Ja Morant,12,,PG,7400,MEM,HOU,1,118,28,18,106,106,2%,16,14,14,32,30,30,37.7,33.1,22.4,43.7,31.0,36.2,4.9,36.9,48.0,6.5
Jaren Jackson,6,,PF,7300,MEM,HOU,1,118,24,18,106,106,3%,13,13,14,26,30,29,38.1,31.7,21.9,41.5,30.5,33.7,4.6,30.2,32.9,4.5
D'Angelo Russell,14,,SG,7300,GSW,DAL,1,108,33,20,101,108,-9%,23,21,19,33,33,32,42.3,38.7,24.5,52.9,34.0,41.1,5.6,34.2,22.6,3.1
Kelly Oubre,10,,SF,7200,PHO,@ATL,1,116,21,16,106,110,22%,16,15,15,37,38,35,39.9,35.1,24.3,45.9,37.5,39.1,5.4,37.8,19.1,2.7
