Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Anthony Davis,7,P,PF,11600,LAL,NYK,1,117,30,29,101,110,7%,19,16,19,38,37,36,54.9,54.0,42.6,65.5,36.0,56.7,4.9,28.2,31.7,2.7
LeBron James,3,,SF,10900,LAL,NYK,1,117,34,26,101,110,1%,19,17,20,36,36,36,55.6,52.8,42.1,63.5,35.5,55.0,5.0,31.4,49.5,4.5
Andre Drummond,5,,C,10300,DET,@CLE,1,112,24,22,101,113,4%,14,14,14,35,34,34,48.9,48.4,35.1,61.7,34.5,52.8,5.1,38.4,60.5,5.9
Karl-Anthony Towns,,O,C,10200,MIN,@MEM,1,112,29,28,106,110,6%,19,17,18,36,36,34,50.1,52.1,40.4,63.8,0.0,0.0,0.0,0,0.0,0.0
Hassan Whiteside,8,,C,8900,POR,@TOR,1,110,20,26,103,101,-7%,13,13,11,33,34,30,51.6,42.2,29.9,54.5,33.0,45.0,5.1,36.9,58.2,6.5
Damian Lillard,7,,PG,8900,POR,@TOR,1,110,30,25,103,101,-3%,21,20,20,38,38,38,48.1,45.4,35.8,54.9,37.5,44.3,5.0,37,40.3,4.5
Devin Booker,11,,SG,8800,PHO,SAC,1,117,29,20,100,108,9%,24,22,18,38,38,36,48.3,39.4,27.6,51.1,37.0,41.8,4.8,39.4,50.3,5.7
Pascal Siakam,,O,SF,8500,TOR,POR,2,112,29,19,104,109,0%,24,22,21,35,36,37,46.8,43.7,33.7,53.6,0.0,0.0,0.0,0,0.0,0.0
Kyle Lowry,11,,PG,8400,TOR,POR,2,112,24,18,104,109,6%,18,16,15,41,39,39,39.1,40.3,33.0,47.5,39.5,47.1,5.6,38,44.8,5.3
Deandre Ayton,3,,C,8100,PHO,SAC,1,117,,,100,108,-7%,13,13,13,35,29,30,35.5,37.3,27.6,47.0,33.5,40.5,5.0,37.4,35.8,4.4
Kyrie Irving,,O,PG,8000,BKN,OKC,0,109,35,26,100,105,-2%,25,24,24,36,36,35,47.8,50.5,38.8,62.2,0.0,0.0,0.0,0,0.0,0.0
Fred Van Vleet,,O,SG,7900,TOR,POR,2,112,24,16,104,109,6%,18,17,15,37,36,37,38.4,38.3,27.9,48.6,0.0,0.0,0.0,0,0.0,0.0
De'Aaron Fox,9,,PG,7800,SAC,@PHO,0,110,30,20,105,109,3%,14,14,14,32,32,31,38.7,36.0,24.5,47.5,32.0,39.4,5.1,35.8,42.8,5.5
Kelly Oubre,6,,SF,7600,PHO,SAC,1,117,21,16,100,108,4%,17,17,15,39,39,35,45.4,34.7,24.1,45.3,37.5,36.8,4.8,36.8,27.7,3.6
Serge Ibaka,10,,PF,7500,TOR,POR,2,112,24,18,104,109,0%,18,14,12,32,32,26,34.8,28.6,19.3,37.8,33.5,41.5,5.5,32.2,29.2,3.9
Spencer Dinwiddie,1,,PG,7500,BKN,OKC,0,109,33,20,100,105,-2%,16,19,18,30,31,31,34.7,37.5,27.6,47.4,32.0,38.0,5.1,36,27.0,3.6
Jaren Jackson,3,,PF,7200,MEM,MIN,1,116,24,17,105,107,-3%,12,13,14,32,30,29,34.5,31.3,21.4,41.2,31.5,34.8,4.8,31,44.4,6.2
Julius Randle,8,,PF,7100,NYK,@LAL,1,105,27,17,103,102,-7%,16,19,15,35,35,32,43.7,34.8,25.6,44.0,35.0,38.9,5.5,31.5,33.0,4.6
Ricky Rubio,2,,PG,7000,PHO,SAC,1,117,23,16,100,108,-5%,9,11,12,35,33,33,35.2,35.8,26.0,45.7,33.5,35.3,5.0,35.2,27.5,3.9
Ja Morant,3,,PG,7000,MEM,MIN,1,116,28,18,105,107,3%,9,10,14,29,30,30,28.0,32.2,21.8,42.5,29.5,32.0,4.6,31.4,38.3,5.5
C.J. McCollum,4,,SG,6900,POR,@TOR,1,110,26,17,103,101,-1%,17,19,20,34,36,37,33.0,36.0,24.5,47.4,36.5,34.2,5.0,35.2,28.0,4.1
Andrew Wiggins,10,,SG,6900,MIN,@MEM,1,112,29,18,106,110,7%,19,21,21,37,37,36,36.3,38.9,29.5,48.3,34.0,37.5,5.4,33.5,21.8,3.2
Kevin Love,9,,PF,6900,CLE,DET,1,108,23,18,102,110,8%,12,13,12,31,32,31,32.3,34.0,22.4,45.5,32.0,36.1,5.2,36.4,45.8,6.6
Chris Paul,10,,PG,6800,OKC,@BKN,0,108,23,21,105,106,13%,13,14,12,31,33,32,35.6,35.7,26.6,44.8,32.0,38.7,5.7,37.7,42.7,6.3
Jonas Valanciunas,7,,C,6700,MEM,MIN,1,116,22,22,105,107,1%,12,11,11,24,25,25,36.4,31.9,20.0,43.8,25.5,32.3,4.8,22.4,19.4,2.9
Shabazz Napier,4,,PG,6500,MIN,@MEM,1,112,23,15,106,110,5%,10,13,8,32,30,21,33.2,21.4,9.8,33.0,28.0,27.9,4.3,24.5,16.6,2.6
Steven Adams,10,,C,6500,OKC,@BKN,0,108,18,22,105,106,7%,11,9,8,33,30,28,34.5,32.5,22.6,42.5,33.5,39.9,6.1,35.7,40.1,6.2
Shai Gilgeous-Alexander,9,,SG,6500,OKC,@BKN,0,108,24,17,105,106,1%,14,16,16,36,36,36,40.6,33.8,23.1,44.5,35.5,35.2,5.4,38.6,31.8,4.9
Richaun Holmes,1,O,PF,6400,SAC,@PHO,0,110,15,22,105,109,1%,8,10,9,27,30,30,32.1,31.5,19.9,43.1,0.0,0.0,0.0,0,0.0,0.0
Buddy Hield,6,,SG,6400,SAC,@PHO,0,110,27,15,105,109,2%,19,18,18,37,36,35,37.9,33.1,23.5,42.8,35.5,36.6,5.7,24.2,19.6,3.1
Derrick Rose,7,,PG,6100,DET,@CLE,1,112,32,22,101,113,7%,18,17,15,29,28,25,33.1,30.2,21.8,38.5,27.5,33.6,5.5,30.5,37.1,6.1
Marcus Morris,1,O,SF,6000,NYK,@LAL,1,105,,,103,102,-7%,18,16,15,35,32,32,35.0,30.8,18.8,42.8,0.0,0.0,0.0,0,0.0,0.0
Dennis Schroder,1,,SG,6000,OKC,@BKN,0,108,28,16,105,106,13%,15,16,15,34,33,31,28.7,28.7,19.3,38.1,32.0,32.2,5.4,35.3,26.3,4.4
Gorgui Dieng,6,,C,6000,MIN,@MEM,1,112,17,19,106,110,6%,8,10,6,28,27,18,35.5,21.4,7.0,35.8,28.5,34.5,5.8,23.6,19.4,3.2
Collin Sexton,3,,PG,5900,CLE,DET,1,108,27,15,102,110,5%,20,18,16,36,35,31,28.5,26.8,20.0,33.7,35.5,32.2,5.5,34.7,27.4,4.6
Tristan Thompson,1,P,C,5800,CLE,DET,1,108,19,17,102,110,-1%,7,8,11,31,32,32,24.4,32.0,22.6,41.5,31.5,30.0,5.2,31.7,36.0,6.2
Carmelo Anthony,2,,SF,5800,POR,@TOR,1,110,22,13,103,101,3%,10,13,15,34,34,33,24.4,28.8,19.0,38.5,34.5,30.0,5.2,35.8,42.9,7.4
Elfrid Payton,1,,PG,5600,NYK,@LAL,1,105,21,14,103,102,-3%,10,9,9,28,30,25,27.5,26.2,16.7,35.6,30.0,29.5,5.3,29.6,34.6,6.2
Danilo Gallinari,1,O,SF,5600,OKC,@BKN,0,108,23,18,105,106,-17%,17,15,13,29,30,31,28.4,29.2,22.1,36.3,0.0,0.0,0.0,0,0.0,0.0
Robert Covington,12,,PF,5500,MIN,@MEM,1,112,17,14,106,110,7%,14,11,10,32,34,29,37.2,27.5,18.0,37.0,32.0,31.3,5.7,31.9,27.2,4.9
Jarrett Allen,6,,PF,5500,BKN,OKC,0,109,15,22,100,105,0%,5,5,7,25,26,27,21.6,31.0,19.3,42.7,26.5,30.0,5.5,32.8,29.4,5.3
Blake Griffin,,O,PF,5400,DET,@CLE,1,112,28,12,101,113,6%,14,14,14,28,29,29,24.5,27.3,19.4,35.1,0.0,0.0,0.0,0,0.0,0.0
Jae Crowder,6,,SF,5400,MEM,MIN,1,116,16,11,105,107,-3%,11,10,10,28,28,31,27.3,25.2,13.9,36.5,29.5,25.9,4.8,30.7,43.1,8.0
Mitchell Robinson,1,,C,5400,NYK,@LAL,1,105,15,24,103,102,-13%,6,7,6,22,22,23,28.4,27.4,19.1,35.6,24.0,28.0,5.2,25.5,23.2,4.3
Marvin Bagley,,O,PF,5100,SAC,@PHO,0,110,,,105,109,1%,11,11,12,21,24,24,26.1,25.5,20.6,30.4,0.0,0.0,0.0,0,0.0,0.0
R.J. Barrett,5,,SG,5100,NYK,@LAL,1,105,23,10,103,102,-7%,11,11,13,34,30,32,20.9,26.0,14.7,37.3,33.5,27.4,5.4,30.7,22.0,4.3
DeAndre Jordan,2,,C,5000,BKN,OKC,0,109,15,21,100,105,0%,4,4,5,20,22,21,25.3,26.0,15.9,36.1,21.0,25.5,5.1,20.2,21.0,4.2
Bogdan Bogdanovic,,O,SG,4900,SAC,@PHO,0,110,24,15,105,109,2%,11,14,12,24,30,28,24.9,25.4,14.3,36.5,0.0,0.0,0.0,0,0.0,0.0
Rondae Hollis-Jefferson,7,,PF,4900,TOR,POR,2,112,18,17,104,109,8%,11,8,7,28,24,21,21.5,20.5,10.6,30.4,26.5,27.6,5.6,25.2,21.2,4.3
Taurean Waller-Prince,0,,SF,4900,BKN,OKC,0,109,20,9,100,105,1%,11,12,12,29,30,31,25.4,25.6,16.3,35.0,28.0,23.3,4.8,37.1,36.1,7.4
Joe Harris,1,,SF,4900,BKN,OKC,0,109,18,13,100,105,1%,9,12,12,31,33,32,26.1,24.8,16.3,33.3,31.5,24.0,4.9,38.3,20.2,4.1
Dillon Brooks,4,,SG,4900,MEM,MIN,1,116,23,12,105,107,7%,17,15,13,29,28,28,21.5,24.1,15.3,33.0,28.0,24.6,5.0,31.1,31.6,6.4
Harrison Barnes,5,,SF,4800,SAC,@PHO,0,110,19,14,105,109,3%,12,10,12,36,34,36,23.5,27.1,18.9,35.3,34.0,25.5,5.3,27.5,6.2,1.3
Marc Gasol,,O,C,4800,TOR,POR,2,112,13,10,104,109,7%,10,8,7,31,30,30,32.9,25.3,15.3,35.3,0.0,0.0,0.0,0,0.0,0.0
Bruce Brown,3,,SG,4800,DET,@CLE,1,112,17,12,101,113,14%,9,9,8,29,31,28,26.2,23.3,12.5,34.1,29.0,25.4,5.3,28.2,29.9,6.2
Aron Baynes,0,,C,4800,PHO,SAC,1,117,20,17,100,108,-7%,13,11,10,28,27,25,25.5,25.4,14.8,35.9,26.5,24.5,5.1,22.9,10.4,2.2
Caris LeVert,1,,SG,4800,BKN,OKC,0,109,27,11,100,105,-9%,12,15,16,28,30,32,26.5,27.7,19.6,35.8,23.5,23.0,4.8,22.5,28.7,6.0
Brandon Clarke,,,PF,4800,MEM,MIN,1,116,19,23,105,107,-3%,8,8,9,20,21,22,24.4,24.8,17.8,31.8,21.0,24.1,5.0,17.6,14.3,3.0
O.G. Anunoby,9,,SF,4800,TOR,POR,2,112,15,13,104,109,8%,9,8,9,33,28,31,19.7,25.4,14.0,36.9,31.5,28.5,5.9,29.7,17.2,3.6
Darius Garland,4,,PG,4700,CLE,DET,1,108,21,9,102,110,5%,13,12,11,35,34,29,25.6,18.3,10.5,26.2,34.5,23.5,5.0,35.6,27.3,5.8
Jarrett Culver,5,,SF,4700,MIN,@MEM,1,112,20,9,106,110,5%,13,13,9,30,31,23,30.6,19.4,8.8,30.1,26.0,22.9,4.9,28.3,36.5,7.8
Nemanja Bjelica,11,,PF,4700,SAC,@PHO,0,110,19,16,105,109,1%,8,8,9,25,27,27,24.5,25.7,16.3,35.1,29.5,28.6,6.1,38.5,35.9,7.6
Christian Wood,4,,PF,4700,DET,@CLE,1,112,20,22,101,113,6%,6,6,6,24,25,17,19.4,18.8,7.2,30.4,25.0,27.1,5.8,13.3,13.2,2.8
Norman Powell,,O,SG,4700,TOR,POR,2,112,19,15,104,109,8%,11,13,11,34,33,29,32.7,24.6,13.4,35.7,0.0,0.0,0.0,0,0.0,0.0
Kyle Kuzma,3,,PF,4700,LAL,NYK,1,117,22,11,101,110,7%,9,11,11,20,25,24,18.5,18.6,9.9,27.4,25.5,22.1,4.7,20.6,22.7,4.8
Sekou Doumbouya,7,,PF,4600,DET,@CLE,1,112,,,101,113,6%,11,7,4,36,21,12,17.1,9.9,-3.3,23.1,32.5,27.0,5.9,33.4,25.4,5.5
Jeff Teague,1,,PG,4500,MIN,@MEM,1,112,22,17,106,110,5%,5,9,10,19,24,29,20.2,27.6,16.8,38.4,21.0,21.1,4.7,28.6,30.0,6.7
Markieff Morris,,O,SF,4400,DET,@CLE,1,112,21,13,101,113,6%,5,9,9,15,23,23,18.3,19.1,11.1,27.0,0.0,0.0,0.0,0,0.0,0.0
JaVale McGee,0,,C,4400,LAL,NYK,1,117,15,21,101,110,-6%,6,4,5,18,16,17,22.8,20.6,10.1,31.1,16.5,19.5,4.4,14.4,25.4,5.8
Mikal Bridges,0,,SF,4400,PHO,SAC,1,117,13,13,100,108,4%,5,6,5,26,26,22,21.8,18.2,8.8,27.5,26.5,21.5,4.9,17.1,5.6,1.3
Dwight Howard,2,,C,4400,LAL,NYK,1,117,13,17,101,110,-6%,5,5,4,19,18,20,22.9,20.8,12.2,29.4,19.0,19.9,4.5,25.2,39.6,9.0
Cedi Osman,3,,SF,4400,CLE,DET,1,108,16,11,102,110,4%,11,10,9,32,29,29,20.3,19.9,11.6,28.2,32.0,23.5,5.3,36,23.2,5.3
Nerlens Noel,,O,PF,4400,OKC,@BKN,0,108,15,23,105,106,7%,2,4,5,14,18,20,26.3,23.9,16.2,31.7,0.0,0.0,0.0,0,0.0,0.0
De'Anthony Melton,1,,PG,4300,MEM,MIN,1,116,21,18,105,107,3%,6,7,6,16,18,17,23.0,19.8,9.6,30.0,17.5,19.0,4.4,21.1,14.3,3.3
Luke Kennard,,O,SF,4300,DET,@CLE,1,112,20,15,101,113,14%,10,11,12,32,34,33,22.9,26.6,18.0,35.2,0.0,0.0,0.0,0,0.0,0.0
Chris Boucher,3,,PF,4200,TOR,POR,2,112,18,20,104,109,0%,5,5,5,17,17,13,17.5,15.5,3.6,27.3,15.5,19.4,4.6,15.8,30.8,7.3
Garrett Temple,2,,SG,4200,BKN,OKC,0,109,17,10,100,105,-9%,12,12,10,30,32,30,19.9,21.8,13.5,30.1,23.5,16.9,4.0,28.3,22.1,5.3
Kevin Porter,,O,SF,4100,CLE,DET,1,108,20,10,102,110,5%,7,10,7,22,25,22,18.5,16.7,9.4,24.1,0.0,0.0,0.0,0,0.0,0.0
Sviatoslav Mykhailiuk,2,,SG,4100,DET,@CLE,1,112,16,10,101,113,5%,10,9,6,31,27,19,17.9,11.8,4.3,19.4,29.0,20.0,4.9,34.5,23.7,5.8
Larry Nance Jr.,,O,PF,4100,CLE,DET,1,108,14,15,102,110,8%,4,4,6,20,22,24,16.5,21.5,12.5,30.6,0.0,0.0,0.0,0,0.0,0.0
Naz Reid,,,PF,4100,MIN,@MEM,1,112,,,106,110,6%,9,9,8,16,14,12,17.4,15.0,4.7,25.3,10.0,10.1,2.5,10.6,16.5,4.0
Cory Joseph,,,PG,4100,SAC,@PHO,0,110,15,9,105,109,3%,7,6,6,21,18,26,16.7,17.8,9.5,26.1,21.5,15.0,3.7,29.1,17.7,4.3
Tyus Jones,,,PG,4000,MEM,MIN,1,116,18,14,105,107,3%,7,6,6,19,18,20,19.4,17.7,9.5,25.9,18.0,15.7,3.9,16,7.5,1.9
Tim Frazier,1,,PG,4000,DET,@CLE,1,112,20,12,101,113,7%,4,4,4,11,15,13,10.6,11.4,3.1,19.7,13.0,11.1,2.8,0,0.0,0.0
Kent Bazemore,3,,SF,4000,POR,@TOR,1,110,16,8,103,101,-1%,8,8,8,35,30,26,18.2,18.9,10.8,26.9,30.0,20.0,5.0,25.5,15.4,3.9
Anfernee Simons,2,,PG,3900,POR,@TOR,1,110,19,10,103,101,-1%,10,10,9,26,26,22,16.5,15.3,7.6,23.0,24.0,16.4,4.2,29.6,16.3,4.2
Darius Bazley,1,,SF,3900,OKC,@BKN,0,108,13,7,105,106,-1%,6,6,4,19,19,17,15.2,11.7,4.3,19.1,26.5,18.4,4.7,14.6,15.8,4.1
Trevor Ariza,9,,SF,3800,SAC,@PHO,0,110,11,9,105,109,3%,7,5,5,32,26,25,18.1,16.8,7.5,26.0,31.5,20.9,5.5,30.8,31.4,8.3
Danny Green,0,,SG,3800,LAL,NYK,1,117,14,12,101,110,-2%,10,8,7,27,24,25,19.5,18.9,9.6,28.2,23.0,17.8,4.7,25.1,24.5,6.4
Alex Caruso,,,PG,3800,LAL,NYK,1,117,14,10,101,110,-2%,8,5,5,20,19,20,17.3,14.2,7.0,21.4,17.5,13.4,3.5,14.3,4.7,1.2
Dante Exum,3,O,PG,3800,CLE,DET,1,108,,,102,110,5%,8,6,3,21,17,11,15.6,8.3,-0.1,16.7,0.0,0.0,0.0,0,0.0,0.0
Andre Iguodala,,O,SG,3800,MEM,MIN,1,116,,,105,107,7%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Frank Kaminsky,,O,PF,3700,PHO,SAC,1,117,21,15,100,108,-13%,6,7,9,18,17,23,17.1,22.2,12.1,32.3,0.0,0.0,0.0,0,0.0,0.0
Bobby Portis,1,,C,3700,NYK,@LAL,1,105,21,15,103,102,-7%,8,9,9,17,19,22,19.1,20.7,10.8,30.7,20.5,18.5,5.0,6.2,7.4,2.0
Patrick Mccaw,3,,SG,3700,TOR,POR,2,112,11,8,104,109,-5%,8,8,6,26,31,27,21.3,15.5,5.7,25.4,31.5,18.5,5.0,35.8,23.3,6.3
Jordan McLaughlin,,O,PG,3700,MIN,@MEM,1,112,,,106,110,5%,9,5,5,19,15,16,13.6,12.7,0.7,24.6,0.0,0.0,0.0,0,0.0,0.0
Cameron Johnson,,,SF,3700,PHO,SAC,1,117,16,12,100,108,-5%,4,4,7,15,15,21,6.4,15.0,6.6,23.3,17.0,11.5,3.1,11.4,4.7,1.3
Reggie Bullock,1,,SG,3700,NYK,@LAL,1,105,,,103,102,-2%,8,8,8,22,20,20,17.7,17.7,13.9,21.5,29.0,21.2,5.7,26.9,16.0,4.3
Frank Ntilikina,,,PG,3700,NYK,@LAL,1,105,15,9,103,102,-3%,6,5,6,22,20,23,18.2,16.9,4.5,29.2,17.5,12.6,3.4,13.9,9.2,2.5
Rajon Rondo,3,,PG,3700,LAL,NYK,1,117,21,13,101,110,2%,4,5,7,18,17,21,12.1,19.9,9.9,29.9,18.5,17.7,4.8,23.2,24.6,6.6
