Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Luka Doncic,,,PG,11000,DAL,@UTA,1,111,39,30,101,104,-3%,26,22,21,35,33,34,52.9,54.7,42.7,66.7,34.5,53.6,4.9,,0.0,0.0
LeBron James,,,SF,10900,LAL,@PHI,1,111,34,27,101,103,-4%,18,18,20,35,34,35,49.4,52.4,42.2,62.6,35.5,50.4,4.6,,0.0,0.0
Anthony Davis,,Q,PF,10600,LAL,@PHI,1,111,29,28,101,103,-9%,12,14,18,29,32,35,52.5,52.6,41.0,64.3,32.5,46.7,4.4,,0.0,0.0
Andre Drummond,,P,C,10300,DET,BKN,0,113,24,22,105,106,9%,13,14,14,31,34,34,50.2,48.9,36.2,61.6,33.5,55.0,5.3,,0.0,0.0
Rudy Gobert,,,C,10300,UTA,DAL,2,117,16,23,101,108,0%,12,11,9,31,34,35,52.4,42.4,32.1,52.7,35.0,46.5,4.5,,0.0,0.0
Karl-Anthony Towns,,,C,9900,MIN,OKC,0,112,29,28,101,106,-2%,24,20,18,29,30,34,41.8,50.2,38.1,62.4,33.0,49.7,5.0,,0.0,0.0
Ben Simmons,,,PG,9700,PHI,LAL,2,107,22,20,103,103,-2%,11,13,12,40,40,37,52.2,43.9,32.3,55.6,39.0,50.9,5.2,,0.0,0.0
Joel Embiid,,O,C,9000,PHI,LAL,2,107,31,26,103,103,-11%,17,18,16,33,32,31,45.6,47.0,35.7,58.4,0.0,0.0,0.0,,0.0,0.0
Kyrie Irving,,,PG,8700,BKN,@DET,1,115,33,25,101,109,2%,16,18,22,32,34,34,43.0,47.1,34.1,60.0,33.0,44.3,5.1,,0.0,0.0
Zach LaVine,,,SG,8600,CHI,@CLE,0,105,31,20,101,114,8%,20,22,20,33,36,34,41.4,38.6,26.5,50.6,36.0,45.0,5.2,,0.0,0.0
Kristaps Porzingis,,,PF,8400,DAL,@UTA,1,111,25,17,101,104,-5%,14,13,16,26,29,32,30.8,38.2,27.7,48.7,29.5,33.1,3.9,,0.0,0.0
Shai Gilgeous-Alexander,,,SG,8100,OKC,@MIN,0,113,23,18,105,108,2%,13,13,16,37,37,36,41.9,35.8,25.1,46.5,36.5,39.8,4.9,,0.0,0.0
Chris Paul,,,PG,7400,OKC,@MIN,0,113,23,21,105,108,2%,13,14,13,29,30,32,37.7,36.1,27.0,45.3,31.5,37.0,5.0,,0.0,0.0
